,layer_id,name,D,Lambda,M,N,alpha,alpha_weighted,best_fit,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,matrix_rank,norm,num_evals,num_pl_spikes,rank_loss,rf,sigma,spectral_norm,stable_rank,sv_max,warning,weak_rank_loss,xmax,xmin
0,6,convnext_base_stage_0_block_0_pointwise_conv_1,0.06766641691159314,-1.0,128.0,512.0,3.167386227405751,5.81499829121781,lognormal,0.7862084104837741,True,68.53273741688007,LAYER_TYPE.DENSE,5.825619727200729,2.5063794816099882,1.8358980792754747,128.0,320.9072150765304,128.0,19.0,0.0,1.0,0.49723250194123864,68.53273741688007,4.682538990445884,8.278450182061862,success,0.0,68.53273741688007,4.750109122998864
0,8,convnext_base_stage_0_block_0_pointwise_conv_2,0.14178119145778745,-1.0,128.0,512.0,7.040875154721729,8.415624318053492,power_law,0.8991217677627308,True,15.676626006238466,LAYER_TYPE.DENSE,8.641354764482216,2.5663142387526916,1.195252597599296,128.0,368.3954339715503,128.0,8.0,0.0,1.0,2.1357718931025347,15.676626006238466,23.49966337303374,3.959371920676115,under-trained,0.0,15.676626006238466,9.505441842037214
0,14,convnext_base_stage_0_block_1_pointwise_conv_1,0.07947745293764202,-1.0,128.0,512.0,3.256821359768635,3.5159674802080576,power_law,0.9365115966118981,True,12.010753651849933,LAYER_TYPE.DENSE,3.994439676067974,2.464613871933583,1.0795702594071148,128.0,291.4834303604307,128.0,56.0,0.0,1.0,0.3015804396931258,12.010753651849933,24.26853791273419,3.4656534235047123,success,0.0,12.010753651849933,2.2763574999437353
0,16,convnext_base_stage_0_block_1_pointwise_conv_2,0.13002796475881717,-1.0,128.0,512.0,3.078255503180648,3.30042668502212,power_law,0.9114492661097825,True,11.807946582907846,LAYER_TYPE.DENSE,3.9132811533833243,2.432027638260808,1.0721743798108738,128.0,270.41304480003487,128.0,36.0,0.0,1.0,0.34637591719677463,11.807946582907846,22.900937339220455,3.4362692826534778,success,0.0,11.807946582907846,2.796970921929397
0,22,convnext_base_stage_0_block_2_pointwise_conv_1,0.11841472298773426,-1.0,128.0,512.0,4.543051472846205,4.175898120539848,power_law,0.9446701880961135,True,8.302015440586722,LAYER_TYPE.DENSE,4.67553144846209,2.421501720149184,0.9191835367702017,128.0,263.9378776369745,128.0,25.0,0.0,1.0,0.708610294569241,8.302015440586722,31.79202442176155,2.881321821766309,success,0.0,8.302015440586722,3.369854369478977
0,24,convnext_base_stage_0_block_2_pointwise_conv_2,0.12576446133598707,-1.0,128.0,512.0,5.2602495058588365,5.719559051681286,power_law,0.9171473216342928,True,12.22691982908754,LAYER_TYPE.DENSE,6.105101930488048,2.5072450036772356,1.0873170645823689,128.0,321.547401040869,128.0,13.0,0.0,1.0,1.1815806184341662,12.22691982908754,26.29831597291704,3.496701278217449,success,0.0,12.22691982908754,6.119805304199381
0,29,convnext_base_downsampling_conv_0,0.10934376230992193,-1.0,128.0,256.0,3.3343271895217863,1.6556394908183567,power_law,0.929098666940412,True,3.1372115071042748,LAYER_TYPE.CONV2D,2.764373663034667,2.437390060170848,0.4965437993071732,512.0,273.7726502538581,512.0,100.0,0.0,4.0,0.23343271895217862,3.1372115071042748,87.2662393446839,1.7712175211148615,success,0.0,3.1372115071042748,0.8844390417840744
0,33,convnext_base_stage_1_block_0_pointwise_conv_1,0.14825060977369064,-1.0,256.0,1024.0,3.725171883363639,5.142028940320971,lognormal,0.9298942642476852,True,24.0074901959878,LAYER_TYPE.DENSE,6.027675845225791,3.092837660540469,1.3803467601817028,256.0,1238.3336103823526,256.0,44.0,0.0,1.0,0.4108351193792436,24.0074901959878,51.5811357319353,4.899743890856725,success,0.0,24.0074901959878,8.888212654168592
0,35,convnext_base_stage_1_block_0_pointwise_conv_2,0.11360540432497146,-1.0,256.0,1024.0,2.6142512346143922,3.9012027270111864,power_law,0.9173282506651195,True,31.06583418400036,LAYER_TYPE.DENSE,4.814760962416354,3.0769833553521444,1.4922830198401427,256.0,1193.9423448897396,256.0,79.0,0.0,1.0,0.18161745331195492,31.06583418400036,38.432650410033034,5.573673311560372,success,0.0,31.06583418400036,5.0149737170810695
0,41,convnext_base_stage_1_block_1_pointwise_conv_1,0.07845507221970638,-1.0,256.0,1024.0,4.50084049845477,6.242394291180384,lognormal,0.9441384405366711,True,24.374722627465395,LAYER_TYPE.DENSE,6.577855120392558,3.030067147982741,1.3869396823378932,256.0,1071.684989871799,256.0,43.0,0.0,1.0,0.5338731709768355,24.374722627465395,43.96706400524231,4.937076323844447,success,0.0,24.374722627465395,7.429125692839442
0,43,convnext_base_stage_1_block_1_pointwise_conv_2,0.08928985680452606,-1.0,256.0,1024.0,5.126895295963473,7.27229459811028,power_law,0.9254595334735487,True,26.209560941375145,LAYER_TYPE.DENSE,7.74726132272059,3.0799432174613353,1.4184597457716626,256.0,1202.107252873453,256.0,23.0,0.0,1.0,0.8605171545127217,26.209560941375145,45.8652190153927,5.119527413870849,success,0.0,26.209560941375145,11.641785134369778
0,49,convnext_base_stage_1_block_2_pointwise_conv_1,0.06823640262884295,-1.0,256.0,1024.0,3.509254707018343,5.152089505822754,power_law,0.9381491861533654,True,29.386205078182936,LAYER_TYPE.DENSE,5.715752627391723,3.065126951048987,1.4681435050920695,256.0,1161.788173007366,256.0,56.0,0.0,1.0,0.33531326463615946,29.386205078182936,39.53515501291818,5.420904452043306,success,0.0,29.386205078182936,6.689715357621441
0,51,convnext_base_stage_1_block_2_pointwise_conv_2,0.06771208340214985,-1.0,256.0,1024.0,4.859953722030434,7.5231279223962195,lognormal,0.9263907703856799,True,35.316970983723294,LAYER_TYPE.DENSE,7.724666528770779,3.0775358660999,1.547983448544679,256.0,1195.462248544473,256.0,20.0,0.0,1.0,0.8631118912463377,35.316970983723294,33.8495124368234,5.94280834149338,success,0.0,35.316970983723294,11.859732437452566
0,56,convnext_base_downsampling_conv_1,0.07586726857451964,-1.0,256.0,512.0,3.595045800874984,2.46095071556078,power_law,0.9497391870574976,True,4.836592089339734,LAYER_TYPE.CONV2D,3.8102065533263847,2.99467859573251,0.6845394612112644,1024.0,987.8217760297447,1024.0,312.0,0.0,4.0,0.1469155381442057,4.836592089339734,204.23921591547673,2.1992253384634632,success,0.0,4.836592089339734,1.2585131222457537
0,60,convnext_base_stage_2_block_0_pointwise_conv_1,0.07674992787072649,-1.0,512.0,2048.0,4.37294597604064,8.611409660824382,power_law,0.9169662721950075,True,93.16370514056085,LAYER_TYPE.DENSE,8.974999068936585,3.660578643659757,1.9692467521909198,512.0,4576.976089675669,512.0,24.0,0.0,1.0,0.6884997142727787,93.16370514056085,49.12831754351279,9.652134745255106,success,0.0,93.16370514056085,31.319772417385064
0,62,convnext_base_stage_2_block_0_pointwise_conv_2,0.06587671869168532,-1.0,512.0,2048.0,3.6445245647823516,6.816277760136539,power_law,0.9357054690302391,True,74.17866285186422,LAYER_TYPE.DENSE,7.3495151960927645,3.6125159429323075,1.870279000449981,512.0,4097.471513382796,512.0,54.0,0.0,1.0,0.35987421088736216,74.17866285186422,55.237872399580745,8.612703573899674,success,0.0,74.17866285186422,17.504873100157386
0,68,convnext_base_stage_2_block_1_pointwise_conv_1,0.07572099799125465,-1.0,512.0,2048.0,3.061412801732582,5.88786516694412,power_law,0.9132250044570853,True,83.80134299021486,LAYER_TYPE.DENSE,6.680014212375499,3.640487172005303,1.9232509786370302,512.0,4370.057708004487,512.0,74.0,0.0,1.0,0.23963437067769355,83.80134299021486,52.14782427191842,9.154307346283217,success,0.0,83.80134299021486,16.48102909097196
0,70,convnext_base_stage_2_block_1_pointwise_conv_2,0.06837165128406741,-1.0,512.0,2048.0,3.029617355155226,6.01394867996149,power_law,0.9207072878352751,True,96.61670620447079,LAYER_TYPE.DENSE,6.653683463014897,3.6365189392964097,1.9850522277105709,512.0,4330.30951520928,512.0,69.0,0.0,1.0,0.2443372167380445,96.61670620447079,44.81946948227574,9.829379746681415,success,0.0,96.61670620447079,16.01279767928806
0,76,convnext_base_stage_2_block_2_pointwise_conv_1,0.08836625102052087,-1.0,512.0,2048.0,3.8063736543053297,6.882503436622885,power_law,0.9310212600361187,True,64.29131987641061,LAYER_TYPE.DENSE,7.644271055319491,3.6588010937706374,1.8081523417539929,512.0,4558.280995418015,512.0,69.0,0.0,1.0,0.3378476864509747,64.29131987641061,70.9004108825352,8.018186819749875,success,0.0,64.29131987641061,18.56052685868932
0,78,convnext_base_stage_2_block_2_pointwise_conv_2,0.07804739097951091,-1.0,512.0,2048.0,2.9228502983944344,5.540275534354215,power_law,0.9238727363034857,True,78.61481145025381,LAYER_TYPE.DENSE,6.3517638510907775,3.636897933078489,1.8955043771477356,512.0,4334.09007597962,512.0,96.0,0.0,1.0,0.1962500867843642,78.61481145025381,55.13070623749016,8.866499390980287,success,0.0,78.61481145025381,13.254583329032469
0,84,convnext_base_stage_2_block_3_pointwise_conv_1,0.05847453528277757,-1.0,512.0,2048.0,4.670392019888832,8.515275321540477,power_law,0.9331543448235601,True,66.56506728134336,LAYER_TYPE.DENSE,8.99777064165494,3.640762776035242,1.8232463753103032,512.0,4372.831834329727,512.0,38.0,0.0,1.0,0.5954162095733764,66.56506728134336,65.69259242009855,8.15874177072319,success,0.0,66.56506728134336,23.08007436279643
0,86,convnext_base_stage_2_block_3_pointwise_conv_2,0.07738239972382743,-1.0,512.0,2048.0,4.899744096881327,9.230429858993388,power_law,0.9243768874879703,True,76.53491082527181,LAYER_TYPE.DENSE,9.592222194612646,3.628585798368425,1.8838595805173843,512.0,4251.92698745647,512.0,22.0,0.0,1.0,0.8314282350586619,76.53491082527181,55.55539219433551,8.748423333679721,success,0.0,76.53491082527181,29.881975105426495
0,92,convnext_base_stage_2_block_4_pointwise_conv_1,0.06589441592797707,-1.0,512.0,2048.0,4.571520690114742,8.933740875199556,power_law,0.9228404899185317,True,89.99459712355902,LAYER_TYPE.DENSE,9.240710098132606,3.6645650883472545,1.9542164371075668,512.0,4619.182150642528,512.0,29.0,0.0,1.0,0.6632147423571947,89.99459712355902,51.327327398338966,9.48654821964022,success,0.0,89.99459712355902,28.569266005322337
0,94,convnext_base_stage_2_block_4_pointwise_conv_2,0.09078077268147261,-1.0,512.0,2048.0,3.6276080055298343,6.682503926141319,power_law,0.9316113139555191,True,69.52228587366523,LAYER_TYPE.DENSE,7.287296281050067,3.635140501970338,1.8421240431586539,512.0,4316.587034899521,512.0,72.0,0.0,1.0,0.30966657316836754,69.52228587366523,62.08925642553747,8.338002511013368,success,0.0,69.52228587366523,16.91459492105446
0,100,convnext_base_stage_2_block_5_pointwise_conv_1,0.06161030675363971,-1.0,512.0,2048.0,3.034849248930181,5.961264824053677,power_law,0.9215639230192425,True,92.10230324084117,LAYER_TYPE.DENSE,6.662152611708605,3.6739235036085724,1.9642704909165063,512.0,4719.798996613417,512.0,100.0,0.0,1.0,0.2034849248930181,92.10230324084117,51.2451787907135,9.596994489987017,success,0.0,92.10230324084117,14.487648104681163
0,102,convnext_base_stage_2_block_5_pointwise_conv_2,0.04691266374511288,-1.0,512.0,2048.0,3.1164748440956553,6.265705762684525,power_law,0.9249842145148951,True,102.44968261825983,LAYER_TYPE.DENSE,6.8277925397977155,3.6638041248386664,2.010510617326263,512.0,4611.09558377871,512.0,76.0,0.0,1.0,0.24277631478839376,102.44968261825983,45.00839305632816,10.121743062252659,success,0.0,102.44968261825983,16.107486176631568
0,108,convnext_base_stage_2_block_6_pointwise_conv_1,0.058273751175220156,-1.0,512.0,2048.0,3.4683553067604835,6.8174885772617,power_law,0.9358422523858576,True,92.39017121947367,LAYER_TYPE.DENSE,7.17584998203899,3.641076358751305,1.9656257719539632,512.0,4375.990381614988,512.0,78.0,0.0,1.0,0.27948620259538337,92.39017121947367,47.36424149728854,9.611980608567293,success,0.0,92.39017121947367,15.283971971584373
0,110,convnext_base_stage_2_block_6_pointwise_conv_2,0.07859895475967316,-1.0,512.0,2048.0,3.754753785273319,6.433112634827974,power_law,0.9449464721005363,True,51.68026855782356,LAYER_TYPE.DENSE,7.3057685474841465,3.636140597597806,1.7133247618151586,512.0,4326.538748361057,512.0,82.0,0.0,1.0,0.3042116644681927,51.68026855782356,83.71741999599358,7.188898980916588,success,0.0,51.68026855782356,14.98215870987644
0,116,convnext_base_stage_2_block_7_pointwise_conv_1,0.07664870355948139,-1.0,512.0,2048.0,4.8015156397397565,8.553885316215126,power_law,0.9383124655716599,True,60.46400611246677,LAYER_TYPE.DENSE,9.138702260470149,3.6704673113414104,1.7814969184769227,512.0,4682.387064605309,512.0,38.0,0.0,1.0,0.6166872695294032,60.46400611246677,77.44090022576046,7.775860474086889,success,0.0,60.46400611246677,24.302015468092897
0,118,convnext_base_stage_2_block_7_pointwise_conv_2,0.07976029643484939,-1.0,512.0,2048.0,4.261644186704755,7.741910975975522,power_law,0.9417059069185256,True,65.56149402955293,LAYER_TYPE.DENSE,8.30838523754726,3.6466250550941486,1.8166488418081248,512.0,4432.258229897586,512.0,36.0,0.0,1.0,0.5436073644507925,65.56149402955293,67.60459467106823,8.09700525068083,success,0.0,65.56149402955293,22.46549757419476
0,124,convnext_base_stage_2_block_8_pointwise_conv_1,0.0659366444256595,-1.0,512.0,2048.0,3.102007207585769,5.7740079711298185,power_law,0.9329413732595824,True,72.67382181010582,LAYER_TYPE.DENSE,6.609949497271843,3.662491876454384,1.8613779997060727,512.0,4597.183893467014,512.0,107.0,0.0,1.0,0.20320870678101455,72.67382181010582,63.25776984013991,8.524894240405908,success,0.0,72.67382181010582,13.264736908261574
0,126,convnext_base_stage_2_block_8_pointwise_conv_2,0.059324619883008745,-1.0,512.0,2048.0,3.631540679610999,7.142582133720753,power_law,0.9386572575914146,True,92.64429999347448,LAYER_TYPE.DENSE,7.5693058140754665,3.669772520193639,1.9668187041996312,512.0,4674.90209696139,512.0,54.0,0.0,1.0,0.35810732791243416,92.64429999347448,50.460763342058534,9.625190906858652,success,0.0,92.64429999347448,19.33489142550882
0,132,convnext_base_stage_2_block_9_pointwise_conv_1,0.04124905175369714,-1.0,512.0,2048.0,4.2751024268638,8.440851815931152,power_law,0.9320641250694309,True,94.28029980834086,LAYER_TYPE.DENSE,8.67032245480917,3.649117527268649,1.9744209548970575,512.0,4457.7686666796635,512.0,37.0,0.0,1.0,0.5384235222977267,94.28029980834086,47.28207988033244,9.709804313596688,success,0.0,94.28029980834086,23.07494880276891
0,134,convnext_base_stage_2_block_9_pointwise_conv_2,0.0758325900799327,-1.0,512.0,2048.0,4.419321342139485,7.555184232021085,power_law,0.9468409757093759,True,51.236587023864175,LAYER_TYPE.DENSE,8.268950639227183,3.642326235851346,1.7095801927730976,512.0,4388.602395696382,512.0,55.0,0.0,1.0,0.4610611957176138,51.236587023864175,85.65368324889258,7.157973667446966,success,0.0,51.236587023864175,18.378307823048548
0,140,convnext_base_stage_2_block_10_pointwise_conv_1,0.0761461690583044,-1.0,512.0,2048.0,3.9016226571281085,6.915527174918672,power_law,0.9422152917009101,True,59.22084908331123,LAYER_TYPE.DENSE,7.699699516690072,3.6600292317673553,1.7724746298272287,512.0,4571.189566309401,512.0,58.0,0.0,1.0,0.38100172061244175,59.22084908331123,77.18885556467964,7.695508370686841,success,0.0,59.22084908331123,18.583253035523246
0,142,convnext_base_stage_2_block_10_pointwise_conv_2,0.06078469452006707,-1.0,512.0,2048.0,3.386494758043448,6.272115158503459,power_law,0.9488379195767318,True,71.1371596263131,LAYER_TYPE.DENSE,6.9285201210009575,3.6666442385871623,1.8520965206298392,512.0,4641.349136265181,512.0,101.0,0.0,1.0,0.23746510384944203,71.1371596263131,65.24507248597511,8.434284772659334,success,0.0,71.1371596263131,13.49876271383403
0,148,convnext_base_stage_2_block_11_pointwise_conv_1,0.05505557190401128,-1.0,512.0,2048.0,3.738754948361301,7.169899384366016,power_law,0.9382576925919719,True,82.74158005433456,LAYER_TYPE.DENSE,7.6584929840223595,3.6734027706092163,1.9177238100369718,512.0,4714.1431978054625,512.0,55.0,0.0,1.0,0.3692936419011426,82.74158005433456,56.97429508488705,9.09623988548755,success,0.0,82.74158005433456,19.602524987971005
0,150,convnext_base_stage_2_block_11_pointwise_conv_2,0.04729863985756294,-1.0,512.0,2048.0,3.288309673292737,6.57653460416553,power_law,0.9422599685902953,True,99.99406622663157,LAYER_TYPE.DENSE,7.034474754261656,3.682813032013966,1.999974229185094,512.0,4817.403590799134,512.0,89.0,0.0,1.0,0.24256034024883477,99.99406622663157,48.17689461573378,9.99970330693024,success,0.0,99.99406622663157,14.7580351956748
0,156,convnext_base_stage_2_block_12_pointwise_conv_1,0.06271711360475951,-1.0,512.0,2048.0,5.4118479631062515,9.789175393826222,power_law,0.9385779474456609,True,64.3934269131816,LAYER_TYPE.DENSE,10.180612767666727,3.6659182378498123,1.8088415381513239,512.0,4633.59677435123,512.0,28.0,0.0,1.0,0.8337608951861434,64.3934269131816,71.95760493689014,8.024551508538131,success,0.0,64.3934269131816,27.12378870903986
0,158,convnext_base_stage_2_block_12_pointwise_conv_2,0.04616416256135869,-1.0,512.0,2048.0,4.607875684987571,8.166909238720786,power_law,0.9528933216326504,True,59.208021585079834,LAYER_TYPE.DENSE,8.65600408886249,3.6605780815221385,1.77238054952926,512.0,4576.9701653803295,512.0,49.0,0.0,1.0,0.5154108121410815,59.208021585079834,77.3032106604573,7.69467488494997,success,0.0,59.208021585079834,19.2094895911967
0,164,convnext_base_stage_2_block_13_pointwise_conv_1,0.062228945241198264,-1.0,512.0,2048.0,3.3420320733130304,6.202471310463038,power_law,0.9364636701979302,True,71.76260583600362,LAYER_TYPE.DENSE,6.945389711413762,3.65774808770571,1.8558982003767517,512.0,4547.2422108343235,512.0,95.0,0.0,1.0,0.240287420710828,71.76260583600362,63.365065382742166,8.471281239340577,success,0.0,71.76260583600362,14.453711750297662
0,166,convnext_base_stage_2_block_13_pointwise_conv_2,0.03735826681634141,-1.0,512.0,2048.0,3.993842735675318,7.216020960377053,power_law,0.9574231217641181,True,64.08943685870588,LAYER_TYPE.DENSE,7.726759523809733,3.6625955582250027,1.8067864555405178,512.0,4598.281538236662,512.0,82.0,0.0,1.0,0.3306146221287187,64.08943685870588,71.74788488739908,8.00558785216338,success,0.0,64.08943685870588,14.653624587036942
0,172,convnext_base_stage_2_block_14_pointwise_conv_1,0.06359535565894314,-1.0,512.0,2048.0,4.047022205258385,7.450770017536785,power_law,0.9443879629142371,True,69.35055599847625,LAYER_TYPE.DENSE,7.972678564759329,3.6641960231152853,1.841049947256488,512.0,4615.258418143568,512.0,59.0,0.0,1.0,0.39668850263697747,69.35055599847625,66.54969598578234,8.32769812123832,success,0.0,69.35055599847625,18.675354289415946
0,174,convnext_base_stage_2_block_14_pointwise_conv_2,0.06427547502142417,-1.0,512.0,2048.0,5.358769529271073,9.25618070242109,power_law,0.9611143694371332,True,53.36984140134139,LAYER_TYPE.DENSE,9.62977152483661,3.6701486175243447,1.7272959122166545,512.0,4678.952297454702,512.0,42.0,0.0,1.0,0.672572740079217,53.36984140134139,87.67034292399268,7.305466542346313,success,0.0,53.36984140134139,19.489390159011528
0,180,convnext_base_stage_2_block_15_pointwise_conv_1,0.1073963810296848,-1.0,512.0,2048.0,4.227068275364164,7.694171465168747,lognormal,0.9291310308806785,True,66.10200273413459,LAYER_TYPE.DENSE,8.382264211243827,3.6764793747425184,1.820214617779243,512.0,4747.6574311142995,512.0,50.0,0.0,1.0,0.45637637217239546,66.10200273413459,71.82320103385679,8.13031381523091,success,0.0,66.10200273413459,23.574057974301883
0,182,convnext_base_stage_2_block_15_pointwise_conv_2,0.05414615291825697,-1.0,512.0,2048.0,5.2568495266892015,9.901780225024194,power_law,0.9384136521441601,True,76.48845732327602,LAYER_TYPE.DENSE,10.092416346693254,3.661780139981146,1.8835959018329367,512.0,4589.656043280327,512.0,24.0,0.0,1.0,0.8689257710163856,76.48845732327602,60.0045576011854,8.745767966466754,success,0.0,76.48845732327602,26.91791274179348
0,188,convnext_base_stage_2_block_16_pointwise_conv_1,0.06163382332747086,-1.0,512.0,2048.0,3.814399139704757,7.015847570832285,power_law,0.9437248652682131,True,69.07264565880887,LAYER_TYPE.DENSE,7.625624970790839,3.668886374327923,1.839306090913005,512.0,4665.373028943317,512.0,59.0,0.0,1.0,0.3664035590635299,69.07264565880887,67.54299020177085,8.310995467379877,success,0.0,69.07264565880887,18.455530007777856
0,190,convnext_base_stage_2_block_16_pointwise_conv_2,0.051575104844268416,-1.0,512.0,2048.0,4.318884314786612,7.701643121422295,power_law,0.9625535739601203,True,60.70833222451106,LAYER_TYPE.DENSE,8.157426393211326,3.6813552638387246,1.7832483021261059,512.0,4801.260432503878,512.0,82.0,0.0,1.0,0.3665094597477569,60.70833222451106,79.08733869920682,7.791555186515145,success,0.0,60.70833222451106,15.360540921211214
0,196,convnext_base_stage_2_block_17_pointwise_conv_1,0.039327946252621926,-1.0,512.0,2048.0,3.7666026969098634,6.940493855670701,power_law,0.949213820686634,True,69.60497503105412,LAYER_TYPE.DENSE,7.532305337521962,3.670709381152395,1.8426402820145358,512.0,4684.997690681525,512.0,81.0,0.0,1.0,0.3074002996566515,69.60497503105412,67.30837398607387,8.342959608619362,success,0.0,69.60497503105412,15.44983921653888
0,198,convnext_base_stage_2_block_17_pointwise_conv_2,0.03422338252592372,-1.0,512.0,2048.0,4.646679013359213,8.423374210583809,power_law,0.9651704803120252,True,64.97899505891145,LAYER_TYPE.DENSE,8.803339835238043,3.7036409328128728,1.8127729904231793,512.0,5054.066277323754,512.0,75.0,0.0,1.0,0.42108222200222006,64.97899505891145,77.78000064084742,8.06095497189455,success,0.0,64.97899505891145,16.375065502720574
0,204,convnext_base_stage_2_block_18_pointwise_conv_1,0.06873122336192161,-1.0,512.0,2048.0,3.6630411899502118,6.506962462267109,power_law,0.9455448105491181,True,59.75614238481828,LAYER_TYPE.DENSE,7.330311302643672,3.6634489944510307,1.7763825534147355,512.0,4607.32654942581,512.0,77.0,0.0,1.0,0.30348170914248634,59.75614238481828,77.10214156321365,7.730209724504134,success,0.0,59.75614238481828,15.990499161546929
0,206,convnext_base_stage_2_block_18_pointwise_conv_2,0.040849343589463905,-1.0,512.0,2048.0,6.5055964151563295,10.681315780302084,lognormal,0.9707485469277579,True,43.83951348461574,LAYER_TYPE.DENSE,11.005157985642976,3.6804389145841023,1.6418657258568063,512.0,4791.140586835428,512.0,42.0,0.0,1.0,0.8495319703979057,43.83951348461574,109.28817876860666,6.621141403460263,under-trained,0.0,43.83951348461574,18.366161600675568
0,212,convnext_base_stage_2_block_19_pointwise_conv_1,0.038851928951605164,-1.0,512.0,2048.0,4.005533261619258,7.414748210730958,power_law,0.9528201483697145,True,70.97842547043331,LAYER_TYPE.DENSE,7.857645944281897,3.671383453517415,1.8511263610712119,512.0,4692.274963764711,512.0,66.0,0.0,1.0,0.3699555703606913,70.97842547043331,66.10846792761443,8.424869463109403,success,0.0,70.97842547043331,16.80232881031911
0,214,convnext_base_stage_2_block_19_pointwise_conv_2,0.03334267154835313,-1.0,512.0,2048.0,5.694628202350025,10.115049442230937,lognormal,0.9686063875786638,True,59.737087776811734,LAYER_TYPE.DENSE,10.348742806257507,3.7099289581858237,1.7762440466362173,512.0,5127.774970785962,512.0,54.0,0.0,1.0,0.6388579793242787,59.737087776811734,85.83905177875813,7.728977149455918,success,0.0,59.737087776811734,18.444423070514834
0,220,convnext_base_stage_2_block_20_pointwise_conv_1,0.06998571481515947,-1.0,512.0,2048.0,4.600000086285428,8.66718614836666,power_law,0.9372864014162879,True,76.58978783681033,LAYER_TYPE.DENSE,9.053491457595031,3.6780789545713874,1.8841708664761239,512.0,4765.1760965110625,512.0,31.0,0.0,1.0,0.6465791027937101,76.58978783681033,62.21685985949212,8.751559166046375,success,0.0,76.58978783681033,26.5810349079681
0,222,convnext_base_stage_2_block_20_pointwise_conv_2,0.048883182667961544,-1.0,512.0,2048.0,6.272191990156823,10.424816659910633,power_law,0.9594650562611555,True,45.92711086340577,LAYER_TYPE.DENSE,10.815014002017232,3.670873375854501,1.6620691261158258,512.0,4686.767134948684,512.0,32.0,0.0,1.0,0.9320006769893222,45.92711086340577,102.04794176772502,6.776954394372576,under-trained,0.0,45.92711086340577,21.304142281632892
0,228,convnext_base_stage_2_block_21_pointwise_conv_1,0.03170785947564114,-1.0,512.0,2048.0,3.923217318629082,7.001334541914575,power_law,0.9553025260770317,True,60.89617820769039,LAYER_TYPE.DENSE,7.656650926065372,3.6694024815968285,1.7845900375361061,512.0,4670.920564799828,512.0,86.0,0.0,1.0,0.3152186301440932,60.89617820769039,76.70301654841703,7.803600336235217,success,0.0,60.89617820769039,14.692594644966652
0,230,convnext_base_stage_2_block_21_pointwise_conv_2,0.042098948141350456,-1.0,512.0,2048.0,6.121903243256699,10.863387946127641,lognormal,0.9710020167995166,True,59.4992565294618,LAYER_TYPE.DENSE,11.011007063717248,3.717914849708445,1.774511539053432,512.0,5222.937750168536,512.0,61.0,0.0,1.0,0.6557925105847685,59.4992565294618,87.78156324663205,7.713576118083091,under-trained,0.0,59.4992565294618,17.955578434007364
0,236,convnext_base_stage_2_block_22_pointwise_conv_1,0.035707551400996795,-1.0,512.0,2048.0,4.574837609251983,9.117991415121875,lognormal,0.9616815914898832,True,98.41795408513363,LAYER_TYPE.DENSE,9.176167061093599,3.6734748804662183,1.993074332667456,512.0,4714.925994799107,512.0,79.0,0.0,1.0,0.4022006541944719,98.41795408513363,47.90717342813888,9.920582346068885,success,0.0,98.41795408513363,14.960159835431392
0,238,convnext_base_stage_2_block_22_pointwise_conv_2,0.05892837836649745,-1.0,512.0,2048.0,5.541194981876498,10.44206128373213,lognormal,0.9679980022823056,True,76.63764162163714,LAYER_TYPE.DENSE,10.683268029732895,3.7592248635524985,1.8844421316854614,512.0,5744.137980007286,512.0,77.0,0.0,1.0,0.5175171979502609,76.63764162163714,74.95191473096611,8.754292753937188,success,0.0,76.63764162163714,18.69928770681362
0,244,convnext_base_stage_2_block_23_pointwise_conv_1,0.05541379027912785,-1.0,512.0,2048.0,4.314205994788766,7.604139546463479,power_law,0.9590584883750213,True,57.88705701312575,LAYER_TYPE.DENSE,8.148908776366868,3.680753628679806,1.7625814705298501,512.0,4794.613773819085,512.0,70.0,0.0,1.0,0.3961233822199088,57.88705701312575,82.82704323233979,7.6083544221550135,success,0.0,57.88705701312575,16.707072140817534
0,246,convnext_base_stage_2_block_23_pointwise_conv_2,0.06283816276540366,-1.0,512.0,2048.0,7.311108448879213,12.13498976114249,lognormal,0.9686638318914025,True,45.687946178880026,LAYER_TYPE.DENSE,12.479291991109276,3.7225152774090247,1.6598016355512788,512.0,5278.557751196049,512.0,41.0,0.0,1.0,0.9856295481484322,45.687946178880026,115.5350194672604,6.759285922261317,under-trained,0.0,45.687946178880026,20.83471566798055
