,layer_id,name,D,Lambda,M,N,alpha,alpha_weighted,best_fit,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,matrix_rank,norm,num_evals,num_pl_spikes,rank_loss,rf,sigma,spectral_norm,stable_rank,sv_max,warning,weak_rank_loss,xmax,xmin
0,6,convnext_small_stage_0_block_0_pointwise_conv_1,0.09523238814045376,-1.0,96.0,384.0,2.637867343020332,4.059849586664687,lognormal,0.8782521426701191,True,34.599124365307716,LAYER_TYPE.DENSE,4.314377041084942,2.5390207466610937,1.5390651078064446,96.0,345.95590407446423,96.0,44.0,0.0,1.0,0.24691779241703476,34.599124365307716,9.998978599046618,5.882102036288364,success,0.0,34.599124365307716,3.0140085134658703
0,8,convnext_small_stage_0_block_0_pointwise_conv_2,0.13055881335567587,-1.0,96.0,384.0,2.425362207199965,3.0681438431535217,power_law,0.9047716207695968,True,18.40877997567046,LAYER_TYPE.DENSE,3.748492090405384,2.5005709222962538,1.2650250070052984,96.0,316.643751509448,96.0,46.0,0.0,1.0,0.21015819205882463,18.40877997567046,17.20069183986842,4.290545417038545,success,0.0,18.40877997567046,2.4590958277107
0,14,convnext_small_stage_0_block_1_pointwise_conv_1,0.08992407572410768,-1.0,96.0,384.0,4.197380015144679,4.8180329694579305,power_law,0.939667559658783,True,14.056161975497414,LAYER_TYPE.DENSE,5.096886554286862,2.4344597576993756,1.147866753087368,96.0,271.93164989639297,96.0,17.0,0.0,1.0,0.7754785604517945,14.056161975497414,19.34608112587362,3.7491548348257657,success,0.0,14.056161975497414,4.600360315321587
0,16,convnext_small_stage_0_block_1_pointwise_conv_2,0.18124339502186332,-1.0,96.0,384.0,2.3883267995405073,2.7291904731147363,lognormal,0.9159289075714171,True,13.890590245750923,LAYER_TYPE.DENSE,3.6353368132293093,2.4975669759304022,1.1427207003831334,96.0,314.46113378425105,96.0,44.0,0.0,1.0,0.20929814002140085,13.890590245750923,22.638428477180334,3.7270082164855665,success,0.0,13.890590245750923,2.504876639273438
0,22,convnext_small_stage_0_block_2_pointwise_conv_1,0.1261627478475753,-1.0,96.0,384.0,4.723458210592161,4.896075109621256,power_law,0.9434301758257934,True,10.877888469899208,LAYER_TYPE.DENSE,5.28302260093243,2.39203112894945,1.0365446017161766,96.0,246.62161020063712,96.0,14.0,0.0,1.0,0.9951360655718745,10.877888469899208,22.671827430762605,3.2981644091675006,success,0.0,10.877888469899208,4.673358316345715
0,24,convnext_small_stage_0_block_2_pointwise_conv_2,0.14713022205747317,-1.0,96.0,384.0,3.507303132967099,4.105747236589341,lognormal,0.9219601007705577,True,14.812487457800136,LAYER_TYPE.DENSE,4.7754554719107425,2.5409223189591152,1.1706279956235126,96.0,347.47400417987785,96.0,26.0,0.0,1.0,0.49172260005736784,14.812487457800136,23.45818048250234,3.8486994501779606,success,0.0,14.812487457800136,5.090677499548074
0,29,convnext_small_downsampling_conv_0,0.1632259934955559,-1.0,96.0,192.0,3.0932497736976923,1.3928256273139152,lognormal,0.9427302592579163,True,2.820194548058749,LAYER_TYPE.CONV2D,2.8736146770224913,2.5001676153583543,0.4502790686860446,384.0,316.34983724357386,384.0,172.0,0.0,4.0,0.15960879891897317,2.820194548058749,112.17305467856107,1.679343487217177,success,0.0,2.820194548058749,0.8370203013597526
0,33,convnext_small_stage_1_block_0_pointwise_conv_1,0.12844867404044674,-1.0,192.0,768.0,2.8628364083808515,5.01999733062241,power_law,0.8870693336545413,True,56.68978128690802,LAYER_TYPE.DENSE,5.705638802398621,3.162099983240729,1.7535047814560927,192.0,1452.4459610924591,192.0,41.0,0.0,1.0,0.29092616967989726,56.68978128690802,25.620948398823476,7.529261669440638,success,0.0,56.68978128690802,11.859780757183689
0,35,convnext_small_stage_1_block_0_pointwise_conv_2,0.1282767487871717,-1.0,192.0,768.0,5.933338756539444,9.487312365370327,power_law,0.9242340352799063,True,39.71767050475135,LAYER_TYPE.DENSE,9.762998416155392,3.132930458768211,1.5989837686098507,192.0,1358.095964597438,192.0,13.0,0.0,1.0,1.3682619881489788,39.71767050475135,34.193746696069994,6.302195689182568,success,0.0,39.71767050475135,20.220316015097698
0,41,convnext_small_stage_1_block_1_pointwise_conv_1,0.11112651805506613,-1.0,192.0,768.0,3.63660695761379,5.770043423474656,power_law,0.9256786170563943,True,38.606085931083435,LAYER_TYPE.DENSE,6.562289284852574,3.1648067302528045,1.5866557730123108,192.0,1461.5266210791622,192.0,34.0,0.0,1.0,0.4521743628076597,38.606085931083435,37.85741511553814,6.21337959013317,success,0.0,38.606085931083435,13.33923566483212
0,43,convnext_small_stage_1_block_1_pointwise_conv_2,0.11519983969579706,-1.0,192.0,768.0,2.933675710538597,5.178063450120259,power_law,0.9166254218424809,True,58.216070590701435,LAYER_TYPE.DENSE,5.654836262691431,3.149480090696854,1.7650428885234941,192.0,1410.8475576819696,192.0,51.0,0.0,1.0,0.2707687586435908,58.216070590701435,24.234675122633874,7.629945647951985,success,0.0,58.216070590701435,9.637493069725972
0,49,convnext_small_stage_1_block_2_pointwise_conv_1,0.06988901696922134,-1.0,192.0,768.0,3.520128402664736,5.799009586105977,power_law,0.9356642248899972,True,44.40029051543293,LAYER_TYPE.DENSE,6.235298712598631,3.111412322610437,1.647385811755085,192.0,1292.4457495085771,192.0,39.0,0.0,1.0,0.4035435084704674,44.40029051543293,29.108948038512064,6.6633542991073895,success,0.0,44.40029051543293,10.243611990221702
0,51,convnext_small_stage_1_block_2_pointwise_conv_2,0.08419177326767524,-1.0,192.0,768.0,5.321093497039354,8.706532744824328,power_law,0.9163673179316016,True,43.27429359733172,LAYER_TYPE.DENSE,8.972767488011295,3.1375442226563623,1.6362299872514223,192.0,1372.6007209220984,192.0,15.0,0.0,1.0,1.115701543429239,43.27429359733172,31.718616453781525,6.57831996769173,success,0.0,43.27429359733172,19.299407365560374
0,56,convnext_small_downsampling_conv_1,0.08658005364237509,-1.0,192.0,384.0,3.1362322311079467,3.0929808894852413,power_law,0.9351674445853361,True,9.687442535795611,LAYER_TYPE.CONV2D,4.422424728942511,3.1154874173970892,0.986209139363565,768.0,1304.630169676616,768.0,215.0,0.0,4.0,0.145689828941,9.687442535795611,134.6723002336209,3.1124656682115566,success,0.0,9.687442535795611,2.2357636140778956
0,60,convnext_small_stage_2_block_0_pointwise_conv_1,0.05799603867580094,-1.0,384.0,1536.0,5.580731750179437,11.073026300704695,power_law,0.9320661916814686,True,96.41688972087724,LAYER_TYPE.DENSE,11.340336508017945,3.721112119861014,1.9841531176173564,384.0,5261.530834430142,384.0,27.0,0.0,1.0,0.8815622363505211,96.41688972087724,54.570634353193185,9.81921023916268,success,0.0,96.41688972087724,37.37916693640077
0,62,convnext_small_stage_2_block_0_pointwise_conv_2,0.11943323712538156,-1.0,384.0,1536.0,4.24337591692295,8.270800801528845,power_law,0.9185833265164467,True,88.94236489977999,LAYER_TYPE.DENSE,9.044272437524102,3.723780517985242,1.9491086727772988,384.0,5293.958323188317,384.0,41.0,0.0,1.0,0.5065302181647642,88.94236489977999,59.521222863295066,9.43092598315669,success,0.0,88.94236489977999,34.890011899476065
0,68,convnext_small_stage_2_block_1_pointwise_conv_1,0.1148535069408762,-1.0,384.0,1536.0,3.110882161046859,6.397348923942422,power_law,0.9117975717844987,True,113.87858478863438,LAYER_TYPE.DENSE,7.241226301547608,3.759066457991209,2.056442061370019,384.0,5742.043232045231,384.0,67.0,0.0,1.0,0.25788530071673155,113.87858478863438,50.42250255131651,10.671390949104731,success,0.0,113.87858478863438,26.94242611266711
0,70,convnext_small_stage_2_block_1_pointwise_conv_2,0.09597445679731348,-1.0,384.0,1536.0,4.777419482683049,10.228083236589148,power_law,0.9240010375528654,True,138.33184191295535,LAYER_TYPE.DENSE,10.450212410029073,3.7426214457906224,2.1409221596854517,384.0,5528.679899293348,384.0,18.0,0.0,1.0,0.8903463105304549,138.33184191295535,39.96679161383713,11.761455773540764,success,0.0,138.33184191295535,49.69302194118756
0,76,convnext_small_stage_2_block_2_pointwise_conv_1,0.08820185963134974,-1.0,384.0,1536.0,3.8423698847428276,7.559706297353249,power_law,0.9341685123111618,True,92.78104991588535,LAYER_TYPE.DENSE,8.233914853648418,3.733805399821463,1.967459282712764,384.0,5417.580831648216,384.0,54.0,0.0,1.0,0.38679754877074224,92.78104991588535,58.3910274410535,9.632292038548528,success,0.0,92.78104991588535,27.891653871681278
0,78,convnext_small_stage_2_block_2_pointwise_conv_2,0.07672755881596566,-1.0,384.0,1536.0,3.182163398787094,6.596206076563323,power_law,0.9303247622127837,True,118.26832303051009,LAYER_TYPE.DENSE,7.2258695468645975,3.729997116685347,2.072868438835516,384.0,5370.282309864589,384.0,76.0,0.0,1.0,0.25031130877911023,118.26832303051009,45.40761357104216,10.8751240466723,success,0.0,118.26832303051009,21.83510045253236
0,84,convnext_small_stage_2_block_3_pointwise_conv_1,0.10431664747044572,-1.0,384.0,1536.0,4.050983221130905,7.973703013626426,power_law,0.9346268266062935,True,92.96890253510274,LAYER_TYPE.DENSE,8.63089993516521,3.7437965869525027,1.9683377042969885,384.0,5543.660004939511,384.0,43.0,0.0,1.0,0.4652705793312281,92.96890253510274,59.62918625232091,9.642038297740926,success,0.0,92.96890253510274,31.84367910520121
0,86,convnext_small_stage_2_block_3_pointwise_conv_2,0.07553196996521411,-1.0,384.0,1536.0,2.915971764838084,6.372424377444812,power_law,0.9237770929073126,True,153.23285018980084,LAYER_TYPE.DENSE,6.905916170018106,3.7312127699217092,2.185351879701296,384.0,5385.335567146132,384.0,78.0,0.0,1.0,0.21694108273956522,153.23285018980084,35.1447849496738,12.378725709450098,success,0.0,153.23285018980084,20.33339530947277
0,92,convnext_small_stage_2_block_4_pointwise_conv_1,0.04790429387236719,-1.0,384.0,1536.0,4.893888497500271,10.69181094895302,power_law,0.9269531985245255,True,153.01257554246774,LAYER_TYPE.DENSE,10.771281679831498,3.736717191808965,2.1847271253552765,384.0,5454.025847594572,384.0,23.0,0.0,1.0,0.8119318784598523,153.01257554246774,35.64429804712907,12.369825202583412,success,0.0,153.01257554246774,42.23813416088253
0,94,convnext_small_stage_2_block_4_pointwise_conv_2,0.08801540630923732,-1.0,384.0,1536.0,3.802126998352725,7.800594331835386,power_law,0.9211165065063923,True,112.62624496350983,LAYER_TYPE.DENSE,8.40860897319112,3.73122752758665,2.0516396046778556,384.0,5385.518568154734,384.0,37.0,0.0,1.0,0.46066684083018855,112.62624496350983,47.81761631047547,10.612551293798765,success,0.0,112.62624496350983,34.89107980288425
0,100,convnext_small_stage_2_block_5_pointwise_conv_1,0.10181524427458116,-1.0,384.0,1536.0,3.5989416959600677,6.986503396986726,power_law,0.9364022238071812,True,87.35063541707328,LAYER_TYPE.DENSE,7.847447648946744,3.750932967583934,1.9412660685304544,384.0,5635.506662836153,384.0,65.0,0.0,1.0,0.32235904347123434,87.35063541707328,64.5159206447473,9.34615618407232,success,0.0,87.35063541707328,25.96938564268186
0,102,convnext_small_stage_2_block_5_pointwise_conv_2,0.07738733873590364,-1.0,384.0,1536.0,3.707301644477116,7.569807335411797,power_law,0.9350108982098319,True,110.11954888574985,LAYER_TYPE.DENSE,8.177599323497978,3.732009240412771,2.0418644236000536,384.0,5395.22101716661,384.0,41.0,0.0,1.0,0.4228094823852007,110.11954888574985,48.994216483434805,10.493786203546833,success,0.0,110.11954888574985,30.67639210136666
0,108,convnext_small_stage_2_block_6_pointwise_conv_1,0.06575356798138934,-1.0,384.0,1536.0,5.340179409559872,11.221185292779875,lognormal,0.9385490310779878,True,126.26266838323691,LAYER_TYPE.DENSE,11.291845469927495,3.7262128004885664,2.1012749632890526,384.0,5323.690515364565,384.0,17.0,0.0,1.0,1.0526481258674263,126.26266838323691,42.1636148161063,11.236666248636066,success,0.0,126.26266838323691,41.04886660707781
0,110,convnext_small_stage_2_block_6_pointwise_conv_2,0.08195735339085619,-1.0,384.0,1536.0,3.717641807515102,7.306588605779149,power_law,0.9372128312523151,True,92.33845903339844,LAYER_TYPE.DENSE,8.048020834728492,3.732984885494108,1.9653826226639421,384.0,5407.355037053689,384.0,53.0,0.0,1.0,0.373296811290809,92.33845903339844,58.56016110359683,9.60929024607949,success,0.0,92.33845903339844,27.316571713724354
0,116,convnext_small_stage_2_block_7_pointwise_conv_1,0.08272711316596015,-1.0,384.0,1536.0,3.858097000397859,7.880029196438838,power_law,0.9308576210138853,True,110.27200898158485,LAYER_TYPE.DENSE,8.417034968977939,3.74700481917123,2.042465286804926,384.0,5584.763918646782,384.0,49.0,0.0,1.0,0.4082995714854084,110.27200898158485,50.64534481800748,10.5010479944425,success,0.0,110.27200898158485,30.500518628023638
