,layer_id,name,D,Lambda,M,N,alpha,alpha_weighted,best_fit,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,matrix_rank,norm,num_evals,num_pl_spikes,rank_loss,rf,sigma,spectral_norm,stable_rank,sv_max,warning,weak_rank_loss,xmax,xmin
0,4,block1a_project_conv,0.13981502958670755,-1.0,16.0,32.0,2.5486921398079727,3.4156416961122607,power_law,0.7735223776440063,True,21.88540958562853,LAYER_TYPE.CONV2D,3.9663917285485875,2.386392549988763,1.3401546788501522,144.0,243.44034228843358,144.0,22.0,0.0,9.0,0.33018227362136293,21.88540958562853,11.123408101454647,4.678184432622182,success,0.0,21.88540958562853,3.5002680095239866
0,7,block2a_expand_conv,0.14876243737863237,-1.0,16.0,64.0,2.3124675995030866,2.308702962043272,power_law,0.874367033709366,True,9.962584680443955,LAYER_TYPE.CONV2D,3.1494187288797817,2.328070544577161,0.9983720258564386,144.0,212.84847580953965,144.0,52.0,0.0,9.0,0.1820065087459044,9.962584680443955,21.364784605279223,3.156356234718121,success,0.0,9.962584680443955,1.3087518893564571
0,12,block2b_expand_conv,0.10279792977616631,-1.0,32.0,128.0,2.0093268883599413,2.3056639942219137,power_law,0.8796830218764914,True,14.043675455864273,LAYER_TYPE.CONV2D,3.0649177751153207,2.503950733719628,1.1474807845247368,288.0,319.1175828210457,288.0,141.0,0.0,9.0,0.08500065780164165,14.043675455864273,22.723223975372523,3.7474892202465737,success,0.0,14.043675455864273,0.5331207151332727
0,19,block3a_expand_conv,0.10917810474994866,-1.0,32.0,128.0,2.7264904678838175,2.403612985170395,power_law,0.9100978191798071,True,7.613382031245103,LAYER_TYPE.CONV2D,3.2771143941926906,2.4747355015477126,0.8815776227657139,288.0,298.3564984317674,288.0,72.0,0.0,9.0,0.2034688529157638,7.613382031245103,39.188431265805505,2.7592357694196963,success,0.0,7.613382031245103,1.3501617871040832
0,24,block3b_expand_conv,0.08557170271837194,-1.0,48.0,192.0,2.357593544179551,2.3814240178061237,power_law,0.8893208995763321,True,10.235474137061805,LAYER_TYPE.CONV2D,3.1102954773322993,2.493179644958101,1.0101079652535552,432.0,311.30037579820873,432.0,124.0,0.0,9.0,0.12191549926598401,10.235474137061805,30.413869609715082,3.19929275576053,success,0.0,10.235474137061805,0.7085067120898838
0,42,block4a_project_conv,0.178017049367217,-1.0,96.0,192.0,9.216871957645742,9.29168916457928,lognormal,0.9469362356517602,True,10.188668178525424,LAYER_TYPE.CONV2D,9.663703349990433,2.529850575591011,1.0081174184991768,96.0,338.7275926536749,96.0,10.0,0.0,1.0,2.5984030628127144,10.188668178525424,33.24552205631825,3.19196932606274,under-trained,0.0,10.188668178525424,7.223569590443636
0,44,block4b_expand_conv,0.14088562861843332,-1.0,96.0,384.0,3.080534534050274,3.033587956999479,power_law,0.9009496859348928,True,9.655177221861939,LAYER_TYPE.CONV2D,3.5502848306869055,2.2007892208867963,0.9847602497125492,96.0,158.7775955394605,96.0,22.0,0.0,1.0,0.44357145306210455,9.655177221861939,16.444814205993545,3.107278105007973,success,0.0,9.655177221861939,2.4627430975764466
0,55,block4b_project_conv,0.11013095601979572,-1.0,96.0,384.0,2.712111542763366,2.4817860475739293,power_law,0.91529137773391,True,8.223850617532017,LAYER_TYPE.CONV2D,3.0758501860991245,2.156440367454131,0.9150752129631222,96.0,143.36408507328335,96.0,36.0,0.0,1.0,0.28535192379389435,8.223850617532017,17.432719992220264,2.867725687288102,success,0.0,8.223850617532017,1.4377609802051572
0,59,block4c_expand_conv,0.13101844753772335,-1.0,96.0,384.0,2.4500433030025612,2.0878483062579147,power_law,0.9285120472712911,True,7.114885581448565,LAYER_TYPE.CONV2D,2.904877709893376,2.1863745626577993,0.8521679203380725,96.0,153.5941103153379,96.0,50.0,0.0,1.0,0.20506709051345012,7.114885581448565,21.587713331022634,2.6673742859689873,success,0.0,7.114885581448565,1.091005562485098
0,70,block4c_project_conv,0.1752382616901586,-1.0,96.0,384.0,2.2343881888298878,1.575507941334685,power_law,0.9325478079322893,True,5.0712879792254775,LAYER_TYPE.CONV2D,2.6010390227353497,2.1238593896067117,0.7051182731858928,96.0,133.0023729941478,96.0,59.0,0.0,1.0,0.16070365403135467,5.0712879792254775,26.226547090007863,2.2519520375055677,success,0.0,5.0712879792254775,0.7598624159280162
0,74,block5a_expand_conv,0.1300753906012886,-1.0,96.0,576.0,2.7776973637482842,3.359770942936302,power_law,0.9522378117463745,True,16.201400384702282,LAYER_TYPE.CONV2D,4.265449326802401,2.653741439533999,1.209552554855204,96.0,450.5483873269686,96.0,47.0,0.0,1.0,0.2593038108489731,16.201400384702282,27.809224920605402,4.025096319928541,success,0.0,16.201400384702282,3.688083538289488
0,85,block5a_project_conv,0.15938148663168628,-1.0,112.0,576.0,3.170615929222876,3.430097157590645,lognormal,0.9630820227661469,True,12.07367206525753,LAYER_TYPE.CONV2D,4.4175639628928005,2.6599202813641023,1.081839375742797,112.0,457.00429469015825,112.0,52.0,0.0,1.0,0.3010102704673844,12.07367206525753,37.851309213971966,3.4747189908332916,success,0.0,12.07367206525753,3.684453417692241
0,87,block5b_expand_conv,0.11235747511860039,-1.0,112.0,672.0,2.9884124776410257,2.761620176208366,power_law,0.9482218843451659,True,8.39671549590364,LAYER_TYPE.CONV2D,3.555822231321966,2.3701189442014874,0.9241094383290476,112.0,234.4870938632194,112.0,48.0,0.0,1.0,0.28700261980651426,8.39671549590364,27.926049653297714,2.8977086630480366,success,0.0,8.39671549590364,1.9059942315012
0,98,block5b_project_conv,0.07162631971732536,-1.0,112.0,672.0,3.5686492103077065,3.4676428955619993,power_law,0.9533065884230374,True,9.369063992200598,LAYER_TYPE.CONV2D,3.847860781979596,2.325350314693775,0.9716962052605339,112.0,211.51945299720683,112.0,35.0,0.0,1.0,0.4341809617993205,9.369063992200598,22.576369760446617,3.060892678974648,success,0.0,9.369063992200598,2.1860993361368366
0,102,block5c_expand_conv,0.1101153432701445,-1.0,112.0,672.0,2.6088604598371847,2.5518817460564636,power_law,0.9449644488969435,True,9.509540656246568,LAYER_TYPE.CONV2D,3.3229660061316584,2.368863266367704,0.9781595395162388,112.0,233.8100993123411,112.0,64.0,0.0,1.0,0.2011075574796481,9.509540656246568,24.586897281811122,3.0837543119137374,success,0.0,9.509540656246568,1.4055214768660556
0,113,block5c_project_conv,0.09288128944489477,-1.0,112.0,672.0,3.1408618355926445,3.009648074510112,power_law,0.9523264626576481,True,9.08288141967524,LAYER_TYPE.CONV2D,3.437065157771953,2.2781748445043033,0.9582236443527693,112.0,189.74696780288946,112.0,46.0,0.0,1.0,0.3156528568971433,9.08288141967524,20.89061378604609,3.0137819130911314,success,0.0,9.08288141967524,1.5845319827341884
