,layer_id,name,D,Lambda,M,N,alpha,alpha_weighted,best_fit,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,matrix_rank,norm,num_evals,num_pl_spikes,rank_loss,rf,sigma,spectral_norm,stable_rank,sv_max,warning,weak_rank_loss,xmax,xmin
0,4,block1a_project_conv,0.11260707133801806,-1.0,24.0,24.0,1.6508836989826345,1.8099497978992378,power_law,0.7113766217685601,True,12.48395206800171,LAYER_TYPE.CONV2D,2.628723196427441,2.1840480415487105,1.0963520925275527,216.0,152.77350465660592,216.0,83.0,0.0,9.0,0.07144376755818124,12.48395206800171,12.237591415316944,3.5332636567346216,over-trained,9.0,12.48395206800171,0.17029311398358737
0,8,block1b_project_conv,0.0817659577603509,-1.0,24.0,24.0,2.0278056544639274,1.6209859017268773,power_law,0.7669472442735009,True,6.300562417198961,LAYER_TYPE.CONV2D,2.260691539474798,1.8773976814351125,0.7993793183081949,216.0,75.40457238559742,216.0,62.0,0.0,9.0,0.1305314486484327,6.300562417198961,11.967911337527866,2.510092113289662,success,0.0,6.300562417198961,0.2594501145884448
0,13,block1c_project_conv,0.095685114730227,-1.0,24.0,24.0,1.9563970289332815,1.2106877647987382,power_law,0.7763752682642638,True,4.157530210838987,LAYER_TYPE.CONV2D,1.9666829582683458,1.7773967865211198,0.6188354137190963,216.0,59.89585745072435,216.0,65.0,0.0,9.0,0.1186264516456471,4.157530210838987,14.406595842544078,2.0390022586645133,over-trained,0.0,4.157530210838987,0.18796108079476032
0,18,block2a_expand_conv,0.14466626884774247,-1.0,24.0,96.0,2.544618605139072,1.8345159479372917,power_law,0.895478245262513,True,5.259439382687322,LAYER_TYPE.CONV2D,2.8376157209249486,2.25962897716626,0.7209394540432629,216.0,181.81469308378084,216.0,64.0,0.0,9.0,0.193077325642384,5.259439382687322,34.56921543430399,2.293346764596955,success,0.0,5.259439382687322,0.9500788122248873
0,23,block2b_expand_conv,0.0833333333333317,-1.0,48.0,192.0,4.525515429912032,4.2255815343753635,lognormal,0.8705352499052993,True,8.584674155827566,LAYER_TYPE.CONV2D,4.278694678027007,2.222879710269539,0.9337238155118834,432.0,167.06278241712732,432.0,12.0,0.0,9.0,1.0177286412459454,8.584674155827566,19.46058515263733,2.9299614597853614,success,0.0,8.584674155827566,2.403363756813208
0,30,block2c_expand_conv,0.0950214830770868,-1.0,48.0,192.0,2.0810657617152892,1.3124835698164388,power_law,0.8984668883326044,True,4.272465512280653,LAYER_TYPE.CONV2D,2.3299106349984022,2.2306872526789046,0.6306785657434691,432.0,170.093317880067,432.0,224.0,0.0,9.0,0.07223174451625732,4.272465512280653,39.811513373520654,2.0669943183958326,success,0.0,4.272465512280653,0.1945589884758026
0,37,block2d_expand_conv,0.09267899328410867,-1.0,48.0,192.0,2.1882093207408437,1.3315204895284511,power_law,0.8987374748205976,True,4.059735776269339,LAYER_TYPE.CONV2D,2.3593788654471073,2.2292010195269243,0.6084977688869588,432.0,169.51222309066804,432.0,176.0,0.0,9.0,0.08956464748410074,4.059735776269339,41.75449645800346,2.0148786008763255,success,0.0,4.059735776269339,0.2595707779137733
0,44,block2e_expand_conv,0.09295955363375608,-1.0,48.0,192.0,3.131255722003204,2.0546411797570396,power_law,0.9071905474404521,True,4.530765999822974,LAYER_TYPE.CONV2D,2.611836579014706,2.2328179015464507,0.6561716327795144,432.0,170.92984607810462,432.0,59.0,0.0,9.0,0.2774658614692466,4.530765999822974,37.726478499393515,2.1285596068287527,success,0.0,4.530765999822974,0.8304323219834769
0,51,block3a_expand_conv,0.09078810643293128,-1.0,48.0,192.0,2.71555848016763,1.8227305856845886,power_law,0.9227620463448638,True,4.690483125618174,LAYER_TYPE.CONV2D,2.747192193608559,2.3888626180489014,0.6712175778928806,432.0,244.82886432951176,432.0,130.0,0.0,9.0,0.1504644322621199,4.690483125618174,52.19693958439409,2.165752323239704,success,0.0,4.690483125618174,0.6259185991425275
0,54,block3a_project_conv,0.17494374539658564,-1.0,80.0,192.0,4.467761773007805,3.6717060681544504,lognormal,0.9475016847077876,True,6.634714783401635,LAYER_TYPE.CONV2D,4.391935416658155,2.266471182365249,0.821822257922801,80.0,184.70182318447456,80.0,22.0,0.0,1.0,0.7393292941558657,6.634714783401635,27.838698303437464,2.575794010281419,success,0.0,6.634714783401635,3.2070276156691104
