,layer_id,name,D,Lambda,M,N,alpha,alpha_weighted,best_fit,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,matrix_rank,norm,num_evals,num_pl_spikes,rank_loss,rf,sigma,spectral_norm,stable_rank,sv_max,warning,weak_rank_loss,xmax,xmin
0,7,regnetx004_Stage_0_XBlock_0_conv_3x3,0.1235873588644445,-1.0,16.0,32.0,4.632429539659173,-1.058947414081057,power_law,0.890392756427901,True,0.5907525541509007,LAYER_TYPE.CONV2D,-0.7287168713096466,1.0921808230781145,-0.2285943919956456,144.0,12.364621403100784,144.0,14.0,0.0,9.0,0.9708076299286865,0.5907525541509007,20.930288521346604,0.7686042897036814,success,0.0,0.5907525541509007,0.24687049190323787
0,19,regnetx004_Stage_1_XBlock_0_conv_3x3,0.17116451990657122,-1.0,16.0,64.0,2.3056764551171502,-0.16012534624292513,power_law,0.9165033914165426,True,0.852219926003423,LAYER_TYPE.CONV2D,0.8909166365597276,1.4251656047175278,-0.06944831565051014,144.0,26.61739838160067,144.0,70.0,0.0,9.0,0.15605818536903324,0.852219926003423,31.23301576205314,0.9231575845994133,success,0.0,0.852219926003423,0.12738598766513642
0,22,regnetx004_Stage_1_XBlock_0_conv_1x1_2,0.19001668668833482,-1.0,64.0,64.0,3.4795861524149996,-0.31921438730268475,lognormal,0.8606446889099866,True,0.8095819522291445,LAYER_TYPE.CONV2D,0.2686616391580102,1.0673151129835454,-0.09173918199471356,64.0,11.67656531529656,64.0,16.0,0.0,1.0,0.6198965381037499,0.8095819522291445,14.422956543368718,0.8997677212642964,success,0.0,0.8095819522291445,0.304285584313832
0,28,regnetx004_Stage_1_XBlock_1_conv_1x1_1,0.24312527639618953,-1.0,64.0,64.0,4.350781223351199,-0.3619004572973302,lognormal,0.8291721040995522,True,0.8256945748333231,LAYER_TYPE.CONV2D,0.2769761325573225,1.0798156252249131,-0.08318056889529728,64.0,12.017541352756746,64.0,13.0,0.0,1.0,0.9293395010503618,0.8256945748333231,14.554463259229527,0.9086773766487879,success,0.0,0.8256945748333231,0.43255435147124804
0,31,regnetx004_Stage_1_XBlock_1_conv_3x3,0.11845899943521043,-1.0,16.0,64.0,2.157009283374749,0.09560054890423736,power_law,0.9022585628743668,True,1.1074417181374403,LAYER_TYPE.CONV2D,0.9151476206195757,1.3745407049410159,0.044320879674039006,144.0,23.68867147220409,144.0,79.0,0.0,9.0,0.13017371459840196,1.1074417181374403,21.390445279635184,1.0523505680795922,success,0.0,1.1074417181374403,0.08703134703656332
0,34,regnetx004_Stage_1_XBlock_1_conv_1x1_2,0.16921562325120726,-1.0,64.0,64.0,5.142231292505662,-0.5681013519196265,lognormal,0.8589109826934415,True,0.7753939424405986,LAYER_TYPE.CONV2D,-0.19706444918177626,1.0391080097723437,-0.11047759612594303,64.0,10.942284689058178,64.0,10.0,0.0,1.0,1.3098885479541047,0.7753939424405986,14.111903756452735,0.880564558928304,success,0.0,0.7753939424405986,0.40913394177960777
0,38,regnetx004_Stage_2_XBlock_0_conv_1x1_1,0.16136420337820234,-1.0,64.0,160.0,3.5421888351628796,0.6705390519996166,power_law,0.9324715156298542,True,1.5463249517707585,LAYER_TYPE.CONV2D,1.3454549489239005,1.4781907631197502,0.18930076379419883,64.0,30.073970066186835,64.0,25.0,0.0,1.0,0.5084377670325759,1.5463249517707585,19.448674117136846,1.2435131490140177,success,0.0,1.5463249517707585,0.5387222492557224
0,41,regnetx004_Stage_2_XBlock_0_conv_3x3,0.16774339232600222,-1.0,16.0,160.0,10.576101680057484,2.22281668533966,power_law,0.9406560220776368,True,1.6224582713549318,LAYER_TYPE.CONV2D,2.5109110957125385,1.7850860114753238,0.21017353582474055,144.0,60.965762721001845,144.0,9.0,0.0,9.0,3.1920338933524945,1.6224582713549318,37.576166855797595,1.273757540254397,under-trained,0.0,1.6224582713549318,1.1725021461933751
0,44,regnetx004_Stage_2_XBlock_0_conv_1x1_2,0.16632210523592628,-1.0,160.0,160.0,3.236885225973427,1.193540030148819,lognormal,0.8689848059608675,True,2.337389194952107,LAYER_TYPE.CONV2D,2.077845034163866,1.8441945294511592,0.36873103209579705,160.0,69.85452268192383,160.0,37.0,0.0,1.0,0.3677416658683467,2.337389194952107,29.885704457256697,1.5288522475870934,success,1.0,2.337389194952107,0.7641564546878191
0,45,regnetx004_Stage_2_XBlock_0_skip_1x1,0.204939877797372,-1.0,64.0,160.0,2.319306180035431,0.6313603189589353,power_law,0.894539429171696,True,1.8716277623104753,LAYER_TYPE.CONV2D,1.4169571501295473,1.453767682714398,0.27221947856375317,64.0,28.429399258606075,64.0,30.0,0.0,1.0,0.2408712516871258,1.8716277623104753,15.189665290875322,1.3680744725015797,success,0.0,1.8716277623104753,0.3263942799037121
