,layer_id,name,D,Lambda,M,N,alpha,alpha_weighted,best_fit,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,matrix_rank,norm,num_evals,num_pl_spikes,rank_loss,rf,sigma,spectral_norm,stable_rank,sv_max,warning,weak_rank_loss,xmax,xmin
0,6,convnext_xlarge_stage_0_block_0_pointwise_conv_1,0.17569228096199874,-1.0,256.0,1024.0,9.678523954961431,5.318766223375025,lognormal,0.9776779913266969,True,3.544403176697115,LAYER_TYPE.DENSE,6.322945896117393,2.6128666800725138,0.5495431171246422,256.0,410.0781976613738,256.0,35.0,0.0,1.0,1.4669382890598013,3.544403176697115,115.69739028490234,1.8826585395915838,under-trained,0.0,3.544403176697115,2.6633673539692935
0,8,convnext_xlarge_stage_0_block_0_pointwise_conv_2,0.19908121576773807,-1.0,256.0,1024.0,14.669302469595435,8.060379865509052,lognormal,0.9774013042542201,True,3.543827766873777,LAYER_TYPE.DENSE,8.853076733419543,2.612867733541538,0.5494726066365819,256.0,410.0791923901137,256.0,21.0,0.0,1.0,2.9828863459127564,3.543827766873777,115.71645671478812,1.88250571496444,under-trained,0.0,3.543827766873777,2.9474550657799496
0,14,convnext_xlarge_stage_0_block_1_pointwise_conv_1,0.18675929880188724,-1.0,256.0,1024.0,8.166088730776032,4.463029553136718,lognormal,0.9777502725865088,True,3.5199143138410993,LAYER_TYPE.DENSE,5.5786885365178325,2.61186285726623,0.5465320914670727,256.0,409.1314426504018,256.0,42.0,0.0,1.0,1.105751497284337,3.5199143138410993,116.23335290907634,1.876143468352327,under-trained,0.0,3.5199143138410993,2.5261594498104554
0,16,convnext_xlarge_stage_0_block_1_pointwise_conv_2,0.19485000361559174,-1.0,256.0,1024.0,5.690591586715043,3.116462854302194,lognormal,0.9776938831939386,True,3.529001334821926,LAYER_TYPE.DENSE,4.4264017363077555,2.611814670289386,0.5476518226290786,256.0,409.0860501471798,256.0,65.0,0.0,1.0,0.5817962825245746,3.529001334821926,115.92119450638359,1.878563636085274,success,0.0,3.529001334821926,2.1717183260330377
0,22,convnext_xlarge_stage_0_block_2_pointwise_conv_1,0.1908304924908128,-1.0,256.0,1024.0,5.989334784022372,3.2800759799722865,lognormal,0.977447484243181,True,3.5290092976228173,LAYER_TYPE.DENSE,4.562491358116198,2.611531938798516,0.5476528025653999,256.0,408.81981635133945,256.0,62.0,0.0,1.0,0.6336461512173093,3.5290092976228173,115.845491432036,1.878565755469533,success,0.0,3.5290092976228173,2.223525101566722
0,24,convnext_xlarge_stage_0_block_2_pointwise_conv_2,0.19622857243356173,-1.0,256.0,1024.0,9.390223123598721,5.1356506461348275,lognormal,0.9775678009655435,True,3.5230163252121423,LAYER_TYPE.DENSE,6.193704624755114,2.6126306122972123,0.546914655651615,256.0,409.855353608959,256.0,33.0,0.0,1.0,1.4605503743013586,3.5230163252121423,116.33649003436824,1.8769699851654906,under-trained,0.0,3.5230163252121423,2.6807482485381464
0,29,convnext_xlarge_downsampling_conv_0,0.14667274444483747,-1.0,256.0,512.0,22.199371970816983,-6.719137047831721,lognormal,0.9639201837672857,True,0.4981126905786658,LAYER_TYPE.CONV2D,-6.038410378873711,2.231683054332384,-0.3026723934652122,1024.0,170.48377539007407,1024.0,29.0,0.0,4.0,3.9366245472619745,0.4981126905786658,342.2594497482492,0.7057709901792973,under-trained,0.0,0.4981126905786658,0.42809987670434946
0,33,convnext_xlarge_stage_1_block_0_pointwise_conv_1,0.18441759144406122,-1.0,512.0,2048.0,15.441524271830177,8.472178201189257,lognormal,0.9798550832769338,True,3.5372197365933005,LAYER_TYPE.DENSE,9.538997506633276,2.9126337192476184,0.5486620395788886,512.0,817.774791998601,512.0,33.0,0.0,1.0,2.5139466936675134,3.5372197365933005,231.1914025409687,1.8807497804315438,under-trained,0.0,3.5372197365933005,3.00809935232088
0,35,convnext_xlarge_stage_1_block_0_pointwise_conv_2,0.18022941865664316,-1.0,512.0,2048.0,26.118227507906862,14.355491005521564,lognormal,0.9800519234774181,True,3.5451528354020123,LAYER_TYPE.DENSE,15.128049574118535,2.913393545648745,0.5496349628310603,512.0,819.2067944325283,512.0,18.0,0.0,1.0,5.920423000742473,3.5451528354020123,231.07799084200332,1.882857624835721,under-trained,0.0,3.5451528354020123,3.20785874636323
0,41,convnext_xlarge_stage_1_block_1_pointwise_conv_1,0.17986456896479808,-1.0,512.0,2048.0,8.067820735249825,4.464825878037911,power_law,0.9801004839830378,True,3.5761163210934304,LAYER_TYPE.DENSE,5.849396792321842,2.9137372968432116,0.5534116367422801,512.0,819.8554667092144,512.0,81.0,0.0,1.0,0.7853134150277583,3.5761163210934304,229.25861272279198,1.8910622203125498,under-trained,0.0,3.5761163210934304,2.545337049244825
0,43,convnext_xlarge_stage_1_block_1_pointwise_conv_2,0.18589815026143497,-1.0,512.0,2048.0,13.584814156476138,7.488146937445993,lognormal,0.9799228843816505,True,3.558070336593117,LAYER_TYPE.DENSE,8.6090837614042,2.9131933960699126,0.5512145290464833,512.0,818.8293405960222,512.0,37.0,0.0,1.0,2.0689307027508015,3.558070336593117,230.1329830876976,1.8862847973180288,under-trained,0.0,3.558070336593117,2.95803784191913
0,49,convnext_xlarge_stage_1_block_2_pointwise_conv_1,0.1844337381833897,-1.0,512.0,2048.0,7.458932558548012,4.116085591025562,power_law,0.979952543403488,True,3.563141436585378,LAYER_TYPE.DENSE,5.561229376281612,2.9133370212119414,0.5518330617305939,512.0,819.1001797013346,512.0,89.0,0.0,1.0,0.6846454819164948,3.563141436585378,229.88146675600194,1.887628521872187,under-trained,0.0,3.563141436585378,2.4783759313855778
0,51,convnext_xlarge_stage_1_block_2_pointwise_conv_2,0.17313814601607996,-1.0,512.0,2048.0,12.945669099281009,7.168855456177567,lognormal,0.980052863285322,True,3.579025303479305,LAYER_TYPE.DENSE,8.277023200850811,2.9136845731705425,0.5537647688349858,512.0,819.7559416879483,512.0,43.0,0.0,1.0,1.8216974593067272,3.579025303479305,229.0444666292336,1.8918312037492417,under-trained,0.0,3.579025303479305,2.903699581368588
