,layer_id,name,D,Lambda,M,N,alpha,alpha_weighted,best_fit,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,matrix_rank,norm,num_evals,num_pl_spikes,rank_loss,rf,sigma,spectral_norm,stable_rank,sv_max,warning,weak_rank_loss,xmax,xmin
0,6,convnext_xlarge_stage_0_block_0_pointwise_conv_1,0.053545199232062135,-1.0,256.0,1024.0,2.809391000880823,5.779232116937626,lognormal,0.8216346866280736,True,114.05440487995155,LAYER_TYPE.DENSE,5.823803368582344,2.960061858188746,2.0571120627658,256.0,912.1407497252667,256.0,46.0,0.0,1.0,0.2667801486189358,114.05440487995155,7.9974179926268025,10.679625690067585,success,0.0,114.05440487995155,6.104738529136172
0,8,convnext_xlarge_stage_0_block_0_pointwise_conv_2,0.11092814173123788,-1.0,256.0,1024.0,2.573581980930949,4.131480695320284,power_law,0.8822406870127208,True,40.3034815672504,LAYER_TYPE.DENSE,5.063864047642982,3.1221420961734956,1.6053425637623526,256.0,1324.7749154505832,256.0,66.0,0.0,1.0,0.1936945522110024,40.3034815672504,32.8699870069553,6.348502308989924,success,0.0,40.3034815672504,6.613587227434794
0,14,convnext_xlarge_stage_0_block_1_pointwise_conv_1,0.11559644020158732,-1.0,256.0,1024.0,2.5302148809232454,3.505042979132196,power_law,0.9245739516224887,True,24.281461652773896,LAYER_TYPE.DENSE,4.524715407903484,3.0354628583342076,1.3852748260864103,256.0,1085.0827473849272,256.0,109.0,0.0,1.0,0.14656800349848387,24.281461652773896,44.687703026352544,4.927622312309852,success,0.0,24.281461652773896,3.62204397499172
0,16,convnext_xlarge_stage_0_block_1_pointwise_conv_2,0.10016699740903118,-1.0,256.0,1024.0,3.627676383135046,5.465009227492702,power_law,0.9023785500975261,True,32.09789129055655,LAYER_TYPE.DENSE,6.076199439051827,3.045947262793051,1.5064765018454676,256.0,1111.5967357746606,256.0,36.0,0.0,1.0,0.437946063855841,32.09789129055655,34.63145680544133,5.665500091832719,success,0.0,32.09789129055655,9.670866403533314
0,22,convnext_xlarge_stage_0_block_2_pointwise_conv_1,0.1037080183815372,-1.0,256.0,1024.0,4.539247848199329,6.024053579811438,power_law,0.9325909999870994,True,21.2375254661725,LAYER_TYPE.DENSE,6.600626018614513,3.003497605734538,1.3271039126451567,256.0,1008.0860517706116,256.0,33.0,0.0,1.0,0.6161039692607867,21.2375254661725,47.467208615067165,4.608418976847971,success,0.0,21.2375254661725,8.426948652915016
0,24,convnext_xlarge_stage_0_block_2_pointwise_conv_2,0.11840636980038471,-1.0,256.0,1024.0,3.8199174386318746,5.378156667271445,power_law,0.91095751761715,True,25.581431592649892,LAYER_TYPE.DENSE,6.162952678142168,3.0540311723978215,1.4079248448881823,256.0,1132.4816465651184,256.0,36.0,0.0,1.0,0.4699862397719791,25.581431592649892,44.26967437156665,5.05780897154587,success,0.0,25.581431592649892,9.34388537994162
0,29,convnext_xlarge_downsampling_conv_0,0.09404653740211438,-1.0,256.0,512.0,3.874050332525493,3.2640627857128557,power_law,0.925048078450957,True,6.958974908534938,LAYER_TYPE.CONV2D,4.464989981491681,3.0235813792837516,0.8425452705941003,1024.0,1055.799323236245,1024.0,124.0,0.0,4.0,0.258097339006697,6.958974908534938,151.71765053231394,2.6379869045419726,success,0.0,6.958974908534938,2.367692186078409
0,33,convnext_xlarge_stage_1_block_0_pointwise_conv_1,0.07448108436076006,-1.0,512.0,2048.0,4.246321844465752,7.246491266617901,power_law,0.9327548966580477,True,50.87842812003015,LAYER_TYPE.DENSE,8.064599789041194,3.6308393060192903,1.7065336853969941,512.0,4274.047122040517,512.0,70.0,0.0,1.0,0.3880096743612664,50.87842812003015,84.00509370999774,7.1329116158852095,success,0.0,50.87842812003015,17.652027631413112
0,35,convnext_xlarge_stage_1_block_0_pointwise_conv_2,0.07402768982371033,-1.0,512.0,2048.0,4.606618811495745,8.412031284546385,power_law,0.9202509165668452,True,67.00002502421654,LAYER_TYPE.DENSE,8.981013299300313,3.6482407750937913,1.8260749649079477,512.0,4448.778416746545,512.0,34.0,0.0,1.0,0.618530023319877,67.00002502421654,66.39965306189923,8.185354300469623,success,0.0,67.00002502421654,26.017229925134846
0,41,convnext_xlarge_stage_1_block_1_pointwise_conv_1,0.08699239228127242,-1.0,512.0,2048.0,3.0703651788821955,5.7763931423023696,power_law,0.9141725231812087,True,76.09173689852086,LAYER_TYPE.DENSE,6.699182083731847,3.6694674175130677,1.8813374975824007,512.0,4671.619015265789,512.0,85.0,0.0,1.0,0.22456263305335933,76.09173689852086,61.39456405754092,8.723057772279217,success,0.0,76.09173689852086,16.43150655325256
