,layer_id,name,D,Lambda,M,N,alpha,alpha_weighted,best_fit,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,matrix_rank,norm,num_evals,num_pl_spikes,rank_loss,rf,sigma,spectral_norm,stable_rank,sv_max,warning,weak_rank_loss,xmax,xmin
0,4,block1a_project_conv,0.11365524566278057,-1.0,32.0,32.0,1.5891449429090314,1.5046498620951265,power_law,0.7234676930588214,True,8.847688953919512,LAYER_TYPE.CONV2D,2.4289534257214296,2.1261727881768446,0.9468298463328139,288.0,133.71273995442883,288.0,129.0,0.0,9.0,0.05187131989414146,8.847688953919512,15.11273064082958,2.974506505946745,over-trained,10.0,8.847688953919512,0.07426492647236083
0,8,block1b_project_conv,0.10190900301745753,-1.0,32.0,32.0,1.769611687164143,1.3380616207607903,power_law,0.7676910716832576,True,5.7033877985095724,LAYER_TYPE.CONV2D,2.2908456902726906,2.0346778050876755,0.7561329021877534,288.0,108.31230672354583,288.0,112.0,0.0,9.0,0.07272146894018439,5.7033877985095724,18.990871837936453,2.388176668194707,over-trained,4.0,5.7033877985095724,0.13593206381371073
0,13,block1c_project_conv,0.0945340329967943,-1.0,32.0,32.0,2.219293087032274,1.620699585787384,power_law,0.8004148553859342,True,5.37374928274827,LAYER_TYPE.CONV2D,2.2204444345072596,1.9182729587057605,0.7302774001583754,288.0,82.84626977406884,288.0,63.0,0.0,9.0,0.15361648969464906,5.37374928274827,15.416846863331738,2.318134871561245,success,1.0,5.37374928274827,0.34734215077412456
0,18,block1d_project_conv,0.1021237279233318,-1.0,32.0,32.0,2.0012246674792706,1.2516342100763258,power_law,0.808000598751806,True,4.221182515809143,LAYER_TYPE.CONV2D,1.9505452471344125,1.8482154815126497,0.625434130618066,288.0,70.50427994193892,288.0,91.0,0.0,9.0,0.10495686370704642,4.221182515809143,16.70249501837146,2.05455165810187,success,1.0,4.221182515809143,0.17618238460898067
0,23,block2a_expand_conv,0.10660237567180192,-1.0,32.0,128.0,2.6832702859336193,2.285392283539755,power_law,0.8973189481028206,True,7.107534878799171,LAYER_TYPE.CONV2D,3.100200716411044,2.391458485356772,0.8517189995806083,288.0,246.29663895651606,288.0,75.0,0.0,9.0,0.19436731054053466,7.107534878799171,34.65289205842466,2.6659960387815977,success,0.0,7.107534878799171,1.1118675832319616
0,26,block2a_project_conv,0.15787967323247065,-1.0,64.0,128.0,5.25276550770353,5.250141329516153,power_law,0.9192979081690872,True,9.988503352115616,LAYER_TYPE.CONV2D,5.636424601928697,2.254385577416862,0.9995004196963432,64.0,179.63277434212478,64.0,10.0,0.0,1.0,1.3448425358945508,9.988503352115616,17.983952951677953,3.1604593577699456,success,0.0,9.988503352115616,5.249196595854787
0,28,block2b_expand_conv,0.06607738601587354,-1.0,64.0,256.0,2.2143318411325774,2.2483992680740195,power_law,0.8631786860807268,True,10.360601484421823,LAYER_TYPE.CONV2D,2.6255211279574056,2.2890896849159628,1.0153849690947936,576.0,194.57618538729304,576.0,158.0,0.0,9.0,0.09660705416195474,10.360601484421823,18.78039471741649,3.2187888225886803,success,0.0,10.360601484421823,0.3135596475599087
0,31,block2b_project_conv,0.13526049222318481,-1.0,64.0,256.0,3.624137838655182,2.576214508962955,power_law,0.941345785553799,True,5.138648731734314,LAYER_TYPE.CONV2D,3.1555010778266164,1.9807648141890992,0.7108489311540418,64.0,95.66758572041195,64.0,22.0,0.0,1.0,0.559468067017148,5.138648731734314,18.61726510504713,2.266858780721533,success,0.0,5.138648731734314,1.7486438229522514
0,35,block2c_expand_conv,0.08407248754655178,-1.0,64.0,256.0,2.183964380387371,1.5614290507200999,power_law,0.8994621780554644,True,5.187423461730717,LAYER_TYPE.CONV2D,2.4079082237081884,2.3077946118486525,0.7149517019335033,576.0,203.13960883873224,576.0,220.0,0.0,9.0,0.07982286224185431,5.187423461730717,39.16002044894892,2.27759159239112,success,0.0,5.187423461730717,0.24579050468168956
0,38,block2c_project_conv,0.1798271260525554,-1.0,64.0,256.0,3.272868049268278,1.9224968538844989,lognormal,0.9444239051645431,True,3.8672685118233034,LAYER_TYPE.CONV2D,2.668604380939403,1.908054997406696,0.5874043270135243,64.0,80.91983665035193,64.0,25.0,0.0,1.0,0.4545736098536556,3.8672685118233034,20.9242871041816,1.9665371880092437,success,0.0,3.8672685118233034,1.3432357240588535
