,layer_id,name,D,Lambda,M,N,alpha,alpha_weighted,best_fit,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,matrix_rank,norm,num_evals,num_pl_spikes,rank_loss,rf,sigma,spectral_norm,stable_rank,sv_max,warning,weak_rank_loss,xmax,xmin
0,4,block1a_project_conv,0.1606014114906441,-1.0,32.0,32.0,21.16430526421913,-7.310572621913106,power_law,0.9103452528885791,True,0.4514192557788191,LAYER_TYPE.CONV2D,-7.053508764207684,1.4970285578651967,-0.3454199195601535,288.0,31.40715210828368,288.0,7.0,0.0,9.0,7.62139101278777,0.4514192557788191,69.57424103253621,0.6718774112729339,under-trained,0.0,0.4514192557788191,0.3912916413220547
0,8,block1b_project_conv,0.2165332184151561,-1.0,32.0,32.0,16.501160524002476,-6.486043778846107,lognormal,0.9122229342735813,True,0.4045144908251796,LAYER_TYPE.CONV2D,-5.734374940697602,1.5026481992377043,-0.393065916146416,288.0,31.81619203157382,288.0,17.0,0.0,9.0,3.759583656477471,0.4045144908251796,78.65278686721739,0.6360145366461207,under-trained,1.0,0.4045144908251796,0.3462269350551026
0,13,block1c_project_conv,0.1111111111111127,-1.0,32.0,32.0,13.76345930248032,-4.12596493696311,power_law,0.9109548593307968,True,0.5014449497664254,LAYER_TYPE.CONV2D,-3.959335132947761,1.5062781967445529,-0.2997767382666339,288.0,32.08323827781395,288.0,9.0,0.0,9.0,4.254486434160106,0.5014449497664254,63.98157622837446,0.7081277778525747,under-trained,2.0,0.5014449497664254,0.3739600977678992
0,18,block1d_project_conv,0.1824708485625527,-1.0,32.0,32.0,5.239051903563911,-1.7882084638136944,lognormal,0.9109514895055468,True,0.4556979613772318,LAYER_TYPE.CONV2D,-0.7275102139003308,1.5159513486370615,-0.3413229142847869,288.0,32.80585406564256,288.0,43.0,0.0,9.0,0.6464493548592027,0.4556979613772318,71.99034633926199,0.6750540433011507,success,0.0,0.4556979613772318,0.2583263792587285
0,23,block2a_expand_conv,0.1193805944677197,-1.0,32.0,128.0,17.047052787856227,-10.03409072749153,power_law,0.9777456915893928,True,0.2578627050921465,LAYER_TYPE.CONV2D,-9.48688623582417,1.5016123107634014,-0.5886114657097498,288.0,31.74039380449169,288.0,21.0,0.0,9.0,3.5017540038715858,0.2578627050921465,123.0902847821648,0.5078018364403052,under-trained,0.0,0.2578627050921465,0.2090923429528616
0,26,block2a_project_conv,0.2137442609551885,-1.0,64.0,128.0,3.6534790938892914,2.698326682661817,lognormal,0.939362896878214,True,5.477263101891001,LAYER_TYPE.CONV2D,3.5515233975085883,2.108026637500446,0.7385636028888092,64.0,128.24092369573236,64.0,24.0,0.0,1.0,0.5416391519309518,5.477263101891001,23.41332181969819,2.340355336672404,success,0.0,5.477263101891001,2.3821502610334075
0,28,block2b_expand_conv,0.0892548585162117,-1.0,64.0,256.0,27.18964636273812,-15.57824476601714,power_law,0.9803270821531272,True,0.2673328456987509,LAYER_TYPE.CONV2D,-15.33810871898528,1.8074571317310453,-0.5729476786195444,576.0,64.1884859314812,576.0,12.0,0.0,9.0,7.560299688753977,0.2673328456987509,240.1069938252676,0.5170424022251472,under-trained,0.0,0.2673328456987509,0.2318792381609256
0,31,block2b_project_conv,0.2072079525121976,-1.0,64.0,256.0,4.010551442614148,3.7679352250958864,lognormal,0.9695344368989016,True,8.699724938345637,LAYER_TYPE.CONV2D,4.68213523843836,2.405413937538865,0.9395055216246968,64.0,254.33957282729943,64.0,28.0,0.0,1.0,0.5689407447374126,8.699724938345637,29.23535797163552,2.949529613064706,success,0.0,8.699724938345637,4.134349347407363
0,35,block2c_expand_conv,0.18283397066246,-1.0,64.0,256.0,12.777159766331714,-7.794074652879769,lognormal,0.9802544629484088,True,0.2454705732681829,LAYER_TYPE.CONV2D,-6.563627259153564,1.8055279542008849,-0.6100005631468617,576.0,63.903986905662045,576.0,51.0,0.0,9.0,1.6491322267210269,0.2454705732681829,260.3325769555493,0.4954498695813563,under-trained,0.0,0.2454705732681829,0.200119714645917
0,38,block2c_project_conv,0.202150838878682,-1.0,64.0,256.0,7.242319124687988,6.849290652909183,lognormal,0.9713256766600372,True,8.82534481613469,LAYER_TYPE.CONV2D,7.447453420811784,2.414885726211884,0.9457316827645678,64.0,259.94754858684087,64.0,15.0,0.0,1.0,1.6117598674419091,8.82534481613469,29.454661999336164,2.9707481913037816,under-trained,0.0,8.82534481613469,5.863050127401986
0,42,block2d_expand_conv,0.1111111111111142,-1.0,64.0,256.0,96.04138384290508,-58.18477306937666,power_law,0.9805519174416194,True,0.2478390730960123,LAYER_TYPE.CONV2D,-58.097134469837336,1.805814033958812,-0.6058302238184063,576.0,63.94609579825956,576.0,9.0,0.0,9.0,31.68046128096836,0.2478390730960123,258.0145858336347,0.4978343831998874,under-trained,0.0,0.2478390730960123,0.2366662329776207
0,45,block2d_project_conv,0.2273783116004472,-1.0,64.0,256.0,6.990502781444846,6.5177259312000615,lognormal,0.968991037889508,True,8.55792924451966,LAYER_TYPE.CONV2D,7.224609958182551,2.407296183082673,0.9323686914910192,64.0,255.44428049020493,64.0,15.0,0.0,1.0,1.5467411671963398,8.55792924451966,29.84884230654124,2.925393861434672,under-trained,0.0,8.55792924451966,5.824028318866514
0,49,block2e_expand_conv,0.1521271829053536,-1.0,64.0,256.0,14.41522711281046,-8.55072864657285,lognormal,0.9800947754988786,True,0.2551682550983905,LAYER_TYPE.CONV2D,-7.559599325268175,1.8050728024674871,-0.5931733561779284,576.0,63.83704897413429,576.0,40.0,0.0,9.0,2.121133650246283,0.2551682550983905,250.1762962227387,0.5051418168181986,under-trained,0.0,0.2551682550983905,0.2073946333344672
