,layer_id,name,D,Lambda,M,N,alpha,alpha_weighted,best_fit,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,matrix_rank,norm,num_evals,num_pl_spikes,rank_loss,rf,sigma,spectral_norm,stable_rank,sv_max,warning,weak_rank_loss,xmax,xmin
0,7,regnetx320_Stage_0_XBlock_0_conv_3x3,0.1772882977750599,-1.0,168.0,336.0,10.221451176956256,-1.960375296107301,power_law,0.9659451743560648,True,0.6429980996514196,LAYER_TYPE.CONV2D,-0.3948418136529142,2.525606561636889,-0.1917903106094042,1512.0,335.43359876917134,1512.0,113.0,0.0,9.0,0.8674811558943234,0.6429980996514196,521.6712132602191,0.8018716229244053,under-trained,0.0,0.6429980996514196,0.4964741110534605
0,10,regnetx320_Stage_0_XBlock_0_conv_1x1_2,0.2030097234082323,-1.0,336.0,336.0,5.477347219657653,3.215897482157648,lognormal,0.9141903743228316,True,3.864798224278902,LAYER_TYPE.CONV2D,4.377382063244312,2.526101436223418,0.5871268249374647,336.0,335.8160401371944,336.0,46.0,0.0,1.0,0.6601488324510143,3.864798224278902,86.89096316272793,1.965909007120854,success,0.0,3.864798224278902,2.3284563892004604
0,16,regnetx320_Stage_0_XBlock_1_conv_1x1_1,0.1760657983016033,-1.0,336.0,336.0,8.121086694558544,4.848704090873555,lognormal,0.9139842130585408,True,3.954131813395173,LAYER_TYPE.CONV2D,5.764045654840274,2.527188669825894,0.5970511426903473,336.0,336.6577912933016,336.0,27.0,0.0,1.0,1.3704537733420126,3.954131813395173,85.14076090049056,1.988499890217541,under-trained,1.0,3.954131813395173,2.8122010394580017
0,19,regnetx320_Stage_0_XBlock_1_conv_3x3,0.1780804232053024,-1.0,168.0,336.0,9.465501715231708,-1.7950185719478629,power_law,0.9656863321757564,True,0.6461926674000308,LAYER_TYPE.CONV2D,-0.2030479038171646,2.526599818052109,-0.1896379743991121,1512.0,336.2016326025071,1512.0,134.0,0.0,9.0,0.7313079638493519,0.6461926674000308,520.2807917261289,0.8038610995688439,under-trained,0.0,0.6461926674000308,0.4830460336860144
0,22,regnetx320_Stage_0_XBlock_1_conv_1x1_2,0.1914228199778157,-1.0,336.0,336.0,7.017768828332261,4.134024739937789,lognormal,0.9143872577438052,True,3.882215513366232,LAYER_TYPE.CONV2D,5.157385068025713,2.525636399475521,0.5890796407040129,336.0,335.4566452453147,336.0,33.0,0.0,1.0,1.0475590917193462,3.882215513366232,86.40855822927858,1.9703338583514804,under-trained,1.0,3.882215513366232,2.63324547278295
0,26,regnetx320_Stage_1_XBlock_0_conv_1x1_1,0.1949352104956451,-1.0,336.0,672.0,6.6979007340749845,5.068451462631593,lognormal,0.9569103345240584,True,5.711134546477178,LAYER_TYPE.CONV2D,6.254912991362276,2.827163320199574,0.7567223916661364,336.0,671.6813970413282,336.0,49.0,0.0,1.0,0.8139858191535693,5.711134546477178,117.60910053426149,2.38979801374032,under-trained,0.0,5.711134546477178,3.796789398763004
0,29,regnetx320_Stage_1_XBlock_0_conv_3x3,0.1191046408459002,-1.0,168.0,672.0,81.73996700264262,0.7657209111775396,power_law,0.9828707007366247,True,1.0218043949806452,LAYER_TYPE.CONV2D,0.9440112775413912,2.8269639042483323,0.0093677663358095,1512.0,671.3730504163264,1512.0,10.0,0.0,9.0,25.532219393518883,1.0218043949806452,657.0465479638531,1.0108434077445652,under-trained,0.0,1.0218043949806452,0.974443076835962
0,32,regnetx320_Stage_1_XBlock_0_conv_1x1_2,0.1570626501205215,-1.0,672.0,672.0,31.365111666872217,19.051016562460863,lognormal,0.9229692602572646,True,4.049441650069022,LAYER_TYPE.CONV2D,19.343276032228715,2.826265310749033,0.6073951454342349,672.0,670.2939673358579,672.0,7.0,0.0,1.0,11.476933429035697,4.049441650069022,165.52750360643745,2.012322451812587,under-trained,0.0,4.049441650069022,3.688445395521523
0,33,regnetx320_Stage_1_XBlock_0_skip_1x1,0.1884955277876561,-1.0,336.0,672.0,7.625761246664349,5.876592352976072,lognormal,0.9567972874710944,True,5.896899154185158,LAYER_TYPE.CONV2D,6.9271945150659215,2.828479821515613,0.7706237007546759,336.0,673.7205918808813,336.0,38.0,0.0,1.0,1.0748404055070238,5.896899154185158,114.24997685482327,2.428353177399276,under-trained,0.0,5.896899154185158,4.101522538650919
0,38,regnetx320_Stage_1_XBlock_1_conv_1x1_1,0.1882370378848661,-1.0,672.0,672.0,18.07319928962049,10.806844424795084,lognormal,0.9231942530221856,True,3.9623114709087495,LAYER_TYPE.CONV2D,11.547716328189637,2.82749929723625,0.5979486117325944,672.0,672.2012213725944,672.0,18.0,0.0,1.0,4.024191664746665,3.9623114709087495,169.64875838456643,1.99055556840515,under-trained,1.0,3.9623114709087495,3.41948565566211
