,layer_id,name,D,Lambda,M,N,alpha,alpha_weighted,best_fit,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,matrix_rank,norm,num_evals,num_pl_spikes,rank_loss,rf,sigma,spectral_norm,stable_rank,sv_max,warning,weak_rank_loss,xmax,xmin
0,5,stem_1_stem_conv_2,0.1666666666666693,-1.0,32.0,32.0,25.22744969444677,-8.052542980633454,power_law,0.9097719992368934,True,0.4795151546445034,LAYER_TYPE.CONV2D,-7.962962460392283,1.5106087918968585,-0.3191976627905448,288.0,32.40475870315063,288.0,6.0,0.0,9.0,9.890814920057135,0.4795151546445034,67.5781743064501,0.6924703276274756,under-trained,0.0,0.4795151546445034,0.4105192960852709
0,8,stem_1_stem_conv_3,0.2009515614372221,-1.0,32.0,64.0,4.159489117508345,-2.112493454361284,lognormal,0.956037107735829,True,0.3105465454104152,LAYER_TYPE.CONV2D,-0.6986713961452599,1.5072271007970792,-0.507873297581009,288.0,32.153414619611624,288.0,88.0,0.0,9.0,0.3368026715852673,0.3105465454104152,103.53814941691908,0.5572670324094323,success,0.0,0.3105465454104152,0.1514339426879985
0,12,stem_1_stem_conv_4,0.1611625395394863,-1.0,64.0,64.0,10.869851553855872,-3.823729865111944,lognormal,0.9205111432089782,True,0.4448628288559047,LAYER_TYPE.CONV2D,-2.8654030584517893,1.809385125466028,-0.3517738808268774,576.0,64.47407579720449,576.0,30.0,0.0,9.0,1.801980111758092,0.4448628288559047,144.93023830068807,0.6669803811626731,under-trained,2.0,0.4448628288559047,0.3454483034980282
0,15,BlockGroup2__block_0__conv_1,0.2165635564234118,-1.0,64.0,64.0,4.391740754699892,2.499622130264769,lognormal,0.8815918061815453,True,3.7082099742234953,LAYER_TYPE.CONV2D,3.1046788105493466,1.800021183122578,0.5691643177229344,64.0,63.098812076976806,64.0,13.0,0.0,1.0,0.9406996310885686,3.7082099742234953,17.015976041159803,1.925671304824241,success,0.0,3.7082099742234953,1.907230472148426
0,18,BlockGroup2__block_0__conv_2,0.1089702032535938,-1.0,64.0,64.0,16.63342498905329,-5.340156212224472,power_law,0.9209250358705988,True,0.4774746218219105,LAYER_TYPE.CONV2D,-4.895848830375624,1.8077812664586004,-0.3210497065841166,576.0,64.23641074828042,576.0,15.0,0.0,9.0,4.036532975119084,0.4774746218219105,134.53366485358347,0.6909953848050727,under-trained,2.0,0.4774746218219105,0.3874655522559311
0,21,BlockGroup2__block_0__conv_3,0.2084339749233558,-1.0,64.0,256.0,11.167601377424546,3.585501456050454,lognormal,0.9709961522549576,True,2.094415329545813,LAYER_TYPE.CONV2D,4.098114580698848,1.8069305746521056,0.3210628079274563,64.0,64.11070824438774,64.0,9.0,0.0,1.0,3.3892004591415152,2.094415329545813,30.61031273978048,1.4472094974625525,under-trained,0.0,2.094415329545813,1.6566327449293985
0,25,BlockGroup2__block_0__se_se_reduce,0.2085532112782949,-1.0,64.0,256.0,7.46742410382637,7.0279278654086585,lognormal,0.96944728637546,True,8.732626128953715,LAYER_TYPE.CONV2D,7.62333377555456,2.4063988555300773,0.9411448670509406,64.0,254.91703328262125,64.0,14.0,0.0,1.0,1.728491797962984,8.732626128953715,29.191337121077883,2.9551017121164738,under-trained,0.0,8.732626128953715,5.944337440585946
0,26,BlockGroup2__block_0__se_se_expand,0.2204826286684819,-1.0,64.0,256.0,9.22969910671412,3.005695421051306,lognormal,0.970653318210701,True,2.1166778109702222,LAYER_TYPE.CONV2D,3.629232681388067,1.8076787538806147,0.3256547571377295,64.0,64.22124992256775,64.0,11.0,0.0,1.0,2.481347643135795,2.1166778109702222,30.34058825094908,1.4548806861630346,under-trained,0.0,2.1166778109702222,1.6094723996642106
0,28,BlockGroup2__block_0__projection_conv,0.2488940967371126,-1.0,64.0,256.0,5.955403020836222,1.838765910235028,lognormal,0.9714192958123126,True,2.0358975288331806,LAYER_TYPE.CONV2D,2.692926111087522,1.8124005987416416,0.3087559152255054,64.0,64.92330182100201,64.0,19.0,0.0,1.0,1.1368474206495405,2.0358975288331806,31.88927777627936,1.426848810783112,success,0.0,2.0358975288331806,1.3283245872062712
0,33,BlockGroup2__block_1__conv_1,0.2203819415983551,-1.0,64.0,256.0,4.783715649897599,4.40449911053811,lognormal,0.9714923994779624,True,8.331584761116567,LAYER_TYPE.CONV2D,5.310385234460459,2.4117746534916824,0.9207276169586696,64.0,258.0920656288613,64.0,24.0,0.0,1.0,0.7723477228360296,8.331584761116567,30.977547853005674,2.8864484684671865,success,0.0,8.331584761116567,4.68046847648494
